freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.170e+02,3.897e+00,9.326e+00,1.302e+02
1.5,7.687e+01,1.695e+01,4.152e+01,1.353e+02
3.1,2.740e+01,1.853e+01,5.216e+01,9.809e+01
4.6,3.305e+02,1.695e+01,6.192e+01,4.094e+02
6.2,1.194e+03,1.780e+01,6.375e+01,1.276e+03
7.7,1.985e+03,1.959e+01,5.720e+01,2.062e+03
9.3,2.516e+03,1.936e+01,5.609e+01,2.592e+03
10.8,3.355e+03,2.036e+01,6.021e+01,3.436e+03
12.4,4.519e+03,1.773e+01,5.888e+01,4.595e+03
13.9,5.721e+03,1.807e+01,5.911e+01,5.799e+03
15.5,6.968e+03,2.057e+01,6.030e+01,7.049e+03
17.0,8.296e+03,2.038e+01,5.572e+01,8.372e+03
18.6,9.922e+03,1.977e+01,5.555e+01,9.997e+03
20.1,1.196e+04,2.086e+01,6.291e+01,1.204e+04
21.7,1.424e+04,2.214e+01,5.996e+01,1.432e+04
23.2,1.637e+04,2.304e+01,6.148e+01,1.646e+04
24.7,1.861e+04,2.282e+01,6.656e+01,1.870e+04
26.3,2.196e+04,2.257e+01,6.759e+01,2.205e+04
27.8,2.645e+04,2.310e+01,7.679e+01,2.655e+04
29.4,3.043e+04,2.667e+01,7.090e+01,3.053e+04
30.9,3.364e+04,2.990e+01,6.947e+01,3.374e+04
32.5,3.679e+04,3.142e+01,7.439e+01,3.690e+04
34.0,4.107e+04,2.720e+01,8.841e+01,4.119e+04
35.6,4.493e+04,2.165e+01,1.093e+02,4.507e+04
37.1,4.845e+04,2.214e+01,1.358e+02,4.861e+04
38.7,5.304e+04,2.824e+01,1.309e+02,5.320e+04
40.2,5.648e+04,3.475e+01,1.439e+02,5.666e+04
41.8,5.675e+04,4.536e+01,1.406e+02,5.693e+04
43.3,6.517e+04,5.908e+01,1.085e+02,6.534e+04
44.8,8.165e+04,5.924e+01,9.576e+01,8.180e+04
46.4,1.012e+05,5.178e+01,1.728e+02,1.015e+05
47.9,1.182e+05,4.655e+01,3.514e+02,1.186e+05
