freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.630e+01,1.393e+02,4.876e+02,6.733e+02
1.6,1.697e+02,7.608e+02,3.594e+02,1.290e+03
3.1,2.051e+02,9.958e+02,1.441e+02,1.345e+03
4.7,2.451e+02,1.246e+03,4.718e+02,1.963e+03
6.3,2.357e+02,1.174e+03,1.372e+03,2.781e+03
7.8,2.288e+02,1.227e+03,2.252e+03,3.708e+03
9.4,2.219e+02,1.213e+03,2.946e+03,4.381e+03
11.0,1.914e+02,1.133e+03,3.582e+03,4.906e+03
12.5,1.968e+02,1.081e+03,4.740e+03,6.018e+03
14.1,1.887e+02,9.567e+02,6.098e+03,7.244e+03
15.7,2.125e+02,1.027e+03,7.602e+03,8.841e+03
17.3,2.325e+02,1.129e+03,9.270e+03,1.063e+04
18.8,2.324e+02,1.181e+03,1.118e+04,1.260e+04
20.4,2.260e+02,1.097e+03,1.354e+04,1.486e+04
22.0,2.488e+02,1.151e+03,1.602e+04,1.742e+04
23.5,2.083e+02,1.105e+03,1.874e+04,2.006e+04
25.1,1.940e+02,1.065e+03,2.132e+04,2.258e+04
26.7,2.477e+02,1.021e+03,2.525e+04,2.652e+04
28.2,3.194e+02,9.298e+02,2.894e+04,3.019e+04
29.8,3.559e+02,9.601e+02,3.329e+04,3.461e+04
31.4,3.472e+02,1.149e+03,3.926e+04,4.076e+04
32.9,3.524e+02,1.421e+03,4.421e+04,4.598e+04
34.5,3.922e+02,1.318e+03,4.960e+04,5.132e+04
36.1,4.651e+02,1.177e+03,5.885e+04,6.049e+04
37.6,5.131e+02,1.377e+03,6.650e+04,6.839e+04
39.2,5.344e+02,1.515e+03,7.298e+04,7.503e+04
40.8,6.328e+02,1.413e+03,7.996e+04,8.201e+04
42.4,8.348e+02,1.707e+03,9.162e+04,9.416e+04
43.9,1.185e+03,2.009e+03,1.121e+05,1.153e+05
45.5,1.527e+03,2.333e+03,1.377e+05,1.416e+05
47.1,1.808e+03,2.738e+03,1.712e+05,1.757e+05
48.6,2.218e+03,3.489e+03,2.126e+05,2.183e+05
50.2,2.845e+03,4.259e+03,2.566e+05,2.637e+05
51.8,3.445e+03,4.674e+03,2.914e+05,2.995e+05
53.3,3.642e+03,4.906e+03,3.168e+05,3.253e+05
54.9,3.743e+03,5.876e+03,3.744e+05,3.840e+05
56.5,4.185e+03,7.951e+03,4.895e+05,5.016e+05
58.0,5.874e+03,1.211e+04,7.221e+05,7.401e+05
59.6,1.016e+04,2.025e+04,1.072e+06,1.102e+06
61.2,1.317e+04,2.895e+04,1.520e+06,1.562e+06
62.7,1.605e+04,3.654e+04,1.796e+06,1.849e+06
64.3,2.420e+04,4.226e+04,1.812e+06,1.878e+06
65.9,3.142e+04,4.066e+04,1.669e+06,1.741e+06
67.5,3.752e+04,4.029e+04,1.376e+06,1.453e+06
69.0,4.072e+04,4.394e+04,1.225e+06,1.310e+06
70.6,2.974e+04,3.524e+04,9.737e+05,1.039e+06
72.2,2.097e+04,2.606e+04,6.678e+05,7.148e+05
73.7,1.668e+04,2.064e+04,4.572e+05,4.945e+05
75.3,1.459e+04,1.665e+04,3.324e+05,3.637e+05
76.9,1.648e+04,1.425e+04,2.503e+05,2.810e+05
78.4,2.150e+04,1.647e+04,1.921e+05,2.301e+05
80.0,2.547e+04,1.852e+04,1.546e+05,1.986e+05
81.6,2.642e+04,1.917e+04,1.317e+05,1.773e+05
83.1,2.447e+04,1.666e+04,1.057e+05,1.468e+05
84.7,2.282e+04,1.495e+04,7.131e+04,1.091e+05
86.3,2.234e+04,1.438e+04,5.184e+04,8.856e+04
87.8,2.199e+04,1.342e+04,4.287e+04,7.827e+04
89.4,2.157e+04,1.251e+04,3.652e+04,7.060e+04
91.0,2.122e+04,1.156e+04,3.056e+04,6.334e+04
92.6,2.084e+04,1.112e+04,2.514e+04,5.710e+04
94.1,1.972e+04,1.026e+04,2.077e+04,5.075e+04
95.7,1.820e+04,9.357e+03,1.721e+04,4.476e+04
97.3,1.703e+04,8.589e+03,1.452e+04,4.014e+04
98.8,1.663e+04,8.407e+03,1.215e+04,3.719e+04
100.4,1.609e+04,8.212e+03,9.830e+03,3.413e+04
102.0,1.521e+04,8.415e+03,7.925e+03,3.155e+04
103.5,1.507e+04,1.039e+04,9.170e+03,3.463e+04
105.1,1.639e+04,1.441e+04,1.430e+04,4.510e+04
106.7,1.822e+04,1.748e+04,1.932e+04,5.502e+04
108.2,1.835e+04,1.727e+04,2.041e+04,5.604e+04
109.8,1.651e+04,1.565e+04,1.795e+04,5.011e+04
111.4,1.443e+04,1.731e+04,1.447e+04,4.621e+04
112.9,1.415e+04,2.085e+04,1.231e+04,4.730e+04
114.5,1.625e+04,2.379e+04,1.251e+04,5.255e+04
116.1,1.897e+04,2.633e+04,1.481e+04,6.011e+04
117.7,2.017e+04,2.633e+04,1.726e+04,6.376e+04
119.2,2.107e+04,2.426e+04,1.910e+04,6.443e+04
120.8,1.978e+04,1.974e+04,2.001e+04,5.953e+04
122.4,1.883e+04,1.648e+04,2.067e+04,5.597e+04
123.9,2.230e+04,1.569e+04,2.336e+04,6.135e+04
125.5,2.694e+04,1.537e+04,2.836e+04,7.067e+04
127.1,3.152e+04,1.609e+04,3.496e+04,8.257e+04
128.6,3.504e+04,1.818e+04,4.137e+04,9.459e+04
130.2,4.031e+04,2.145e+04,5.046e+04,1.122e+05
131.8,4.390e+04,2.353e+04,5.887e+04,1.263e+05
133.3,2.304e+04,1.466e+04,3.762e+04,7.532e+04
134.9,1.059e+04,9.287e+03,2.921e+04,4.909e+04
136.5,1.200e+04,9.422e+03,3.828e+04,5.970e+04
138.0,1.274e+04,8.618e+03,4.508e+04,6.643e+04
139.6,1.382e+04,8.724e+03,5.164e+04,7.417e+04
141.2,1.569e+04,9.167e+03,5.883e+04,8.369e+04
142.7,1.797e+04,9.641e+03,6.740e+04,9.501e+04
144.3,2.205e+04,1.021e+04,7.922e+04,1.115e+05
145.9,2.757e+04,1.123e+04,9.255e+04,1.314e+05
147.5,3.300e+04,1.281e+04,1.052e+05,1.510e+05
149.0,3.685e+04,1.468e+04,1.130e+05,1.646e+05
150.6,4.275e+04,1.585e+04,1.242e+05,1.828e+05
152.2,4.981e+04,1.728e+04,1.375e+05,2.045e+05
153.7,5.595e+04,1.810e+04,1.481e+05,2.222e+05
155.3,5.845e+04,1.830e+04,1.523e+05,2.291e+05
156.9,5.740e+04,1.874e+04,1.481e+05,2.242e+05
158.4,6.097e+04,2.142e+04,1.575e+05,2.398e+05
160.0,7.294e+04,2.497e+04,1.811e+05,2.790e+05
161.6,8.449e+04,2.691e+04,2.004e+05,3.118e+05
163.1,9.686e+04,2.951e+04,2.232e+05,3.496e+05
164.7,1.176e+05,3.312e+04,2.620e+05,4.127e+05
166.3,1.348e+05,3.449e+04,2.953e+05,4.646e+05
167.8,1.421e+05,3.339e+04,3.101e+05,4.856e+05
169.4,1.484e+05,3.244e+04,3.283e+05,5.091e+05
171.0,1.534e+05,3.059e+04,3.372e+05,5.212e+05
172.6,1.563e+05,2.926e+04,3.314e+05,5.170e+05
174.1,1.528e+05,2.822e+04,3.113e+05,4.923e+05
175.7,1.485e+05,2.532e+04,2.982e+05,4.721e+05
177.3,1.464e+05,2.430e+04,2.893e+05,4.599e+05
178.8,1.426e+05,2.057e+04,2.833e+05,4.464e+05
180.4,1.407e+05,1.654e+04,2.778e+05,4.351e+05
182.0,1.446e+05,1.480e+04,2.789e+05,4.383e+05
183.5,1.405e+05,1.391e+04,2.756e+05,4.300e+05
185.1,1.348e+05,1.276e+04,2.725e+05,4.200e+05
186.7,1.291e+05,1.115e+04,2.677e+05,4.079e+05
188.2,1.244e+05,1.003e+04,2.589e+05,3.933e+05
189.8,1.166e+05,8.527e+03,2.384e+05,3.635e+05
191.4,1.142e+05,8.541e+03,2.285e+05,3.512e+05
192.9,1.168e+05,9.990e+03,2.215e+05,3.483e+05
194.5,1.268e+05,1.103e+04,2.161e+05,3.540e+05
196.1,1.420e+05,1.309e+04,2.215e+05,3.766e+05
197.7,1.681e+05,1.816e+04,2.476e+05,4.339e+05
199.2,1.906e+05,2.402e+04,2.728e+05,4.874e+05
