freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.003e+00,9.445e+00,5.416e+02,5.591e+02
1.5,2.029e+01,2.315e+01,3.695e+02,4.130e+02
3.1,2.101e+01,2.581e+01,1.020e+02,1.488e+02
4.6,2.196e+01,2.666e+01,4.334e+02,4.821e+02
6.2,2.159e+01,2.593e+01,1.318e+03,1.366e+03
7.7,2.247e+01,2.798e+01,2.143e+03,2.193e+03
9.3,2.267e+01,2.767e+01,3.113e+03,3.164e+03
10.8,2.322e+01,2.627e+01,4.360e+03,4.409e+03
12.4,2.371e+01,2.353e+01,5.864e+03,5.912e+03
13.9,2.541e+01,2.405e+01,8.276e+03,8.325e+03
15.5,3.676e+01,2.591e+01,1.200e+04,1.207e+04
17.0,1.045e+02,2.864e+01,1.764e+04,1.777e+04
18.6,2.953e+02,3.444e+01,2.186e+04,2.219e+04
20.1,2.957e+02,3.530e+01,1.625e+04,1.658e+04
21.7,1.466e+02,3.155e+01,1.178e+04,1.196e+04
23.2,7.879e+01,3.010e+01,1.504e+04,1.515e+04
24.8,7.391e+01,2.847e+01,2.065e+04,2.076e+04
26.3,8.512e+01,2.945e+01,2.821e+04,2.833e+04
27.8,8.599e+01,2.985e+01,3.641e+04,3.652e+04
29.4,9.798e+01,2.879e+01,4.467e+04,4.480e+04
30.9,1.222e+02,2.882e+01,5.741e+04,5.756e+04
32.5,1.633e+02,2.717e+01,7.345e+04,7.364e+04
34.0,2.269e+02,2.898e+01,9.176e+04,9.201e+04
35.6,2.488e+02,3.265e+01,1.268e+05,1.270e+05
37.1,2.559e+02,3.536e+01,1.823e+05,1.826e+05
38.7,3.381e+02,4.904e+01,2.784e+05,2.787e+05
40.2,4.105e+02,9.043e+01,4.183e+05,4.188e+05
41.8,4.636e+02,1.527e+02,5.072e+05,5.078e+05
43.3,6.449e+02,3.326e+02,7.168e+05,7.178e+05
44.9,7.854e+02,8.306e+02,9.137e+05,9.153e+05
46.4,7.173e+02,2.096e+03,9.472e+05,9.500e+05
48.0,4.186e+02,4.500e+03,1.126e+06,1.130e+06
49.5,6.749e+02,7.643e+03,1.391e+06,1.399e+06
51.0,1.914e+03,8.973e+03,1.397e+06,1.408e+06
52.6,2.330e+03,7.166e+03,1.153e+06,1.162e+06
