freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.030e+01,1.525e+02,6.558e+02,8.785e+02
1.6,2.252e+02,5.899e+02,4.894e+02,1.304e+03
3.1,2.463e+02,6.589e+02,1.419e+02,1.047e+03
4.7,2.194e+02,5.302e+02,4.995e+02,1.249e+03
6.3,2.387e+02,6.169e+02,1.421e+03,2.277e+03
7.8,2.655e+02,6.139e+02,2.230e+03,3.109e+03
9.4,2.571e+02,6.188e+02,2.964e+03,3.840e+03
11.0,2.224e+02,5.996e+02,3.699e+03,4.521e+03
12.5,2.293e+02,6.043e+02,4.861e+03,5.694e+03
14.1,2.286e+02,5.603e+02,6.225e+03,7.013e+03
15.7,2.009e+02,5.515e+02,7.792e+03,8.544e+03
17.2,2.035e+02,5.513e+02,9.650e+03,1.040e+04
18.8,2.275e+02,5.551e+02,1.171e+04,1.249e+04
20.4,2.652e+02,5.144e+02,1.388e+04,1.466e+04
21.9,2.885e+02,6.329e+02,1.621e+04,1.713e+04
23.5,2.739e+02,6.651e+02,1.890e+04,1.984e+04
25.1,2.530e+02,6.564e+02,2.185e+04,2.276e+04
26.6,2.711e+02,6.625e+02,2.573e+04,2.666e+04
28.2,2.890e+02,7.237e+02,2.951e+04,3.052e+04
29.8,3.017e+02,7.153e+02,3.420e+04,3.521e+04
31.3,3.182e+02,7.194e+02,4.133e+04,4.237e+04
32.9,3.758e+02,7.872e+02,4.760e+04,4.876e+04
34.5,3.842e+02,7.702e+02,5.395e+04,5.510e+04
36.0,4.163e+02,8.137e+02,6.494e+04,6.617e+04
37.6,5.109e+02,9.432e+02,7.694e+04,7.840e+04
39.1,7.074e+02,1.111e+03,8.920e+04,9.102e+04
40.7,7.730e+02,1.235e+03,9.844e+04,1.005e+05
42.3,9.515e+02,1.478e+03,1.105e+05,1.129e+05
43.8,1.271e+03,1.878e+03,1.359e+05,1.391e+05
45.4,1.616e+03,2.327e+03,1.716e+05,1.755e+05
47.0,1.904e+03,2.783e+03,2.168e+05,2.215e+05
48.5,2.313e+03,3.534e+03,2.746e+05,2.805e+05
50.1,3.008e+03,4.680e+03,3.488e+05,3.565e+05
51.7,3.761e+03,5.735e+03,4.232e+05,4.327e+05
53.2,4.514e+03,6.519e+03,4.856e+05,4.966e+05
54.8,5.383e+03,8.192e+03,6.110e+05,6.246e+05
56.4,6.568e+03,1.278e+04,8.850e+05,9.044e+05
57.9,1.140e+04,1.932e+04,1.388e+06,1.419e+06
59.5,2.596e+04,2.798e+04,2.056e+06,2.110e+06
61.1,3.946e+04,4.124e+04,2.757e+06,2.838e+06
62.6,4.172e+04,4.976e+04,2.979e+06,3.070e+06
64.2,3.787e+04,4.869e+04,2.555e+06,2.642e+06
65.8,3.519e+04,4.418e+04,1.929e+06,2.009e+06
67.3,3.783e+04,4.175e+04,1.646e+06,1.726e+06
68.9,3.741e+04,3.793e+04,1.473e+06,1.548e+06
70.5,2.655e+04,2.839e+04,1.089e+06,1.143e+06
72.0,1.541e+04,1.883e+04,7.365e+05,7.708e+05
73.6,1.056e+04,1.388e+04,5.014e+05,5.258e+05
75.2,1.446e+04,1.609e+04,3.688e+05,3.994e+05
76.7,2.020e+04,2.005e+04,2.827e+05,3.229e+05
78.3,2.426e+04,2.230e+04,2.207e+05,2.673e+05
79.9,2.365e+04,2.323e+04,1.800e+05,2.269e+05
81.4,2.406e+04,2.149e+04,1.462e+05,1.917e+05
83.0,2.560e+04,2.074e+04,1.196e+05,1.659e+05
84.6,2.560e+04,1.815e+04,1.107e+05,1.544e+05
86.1,2.471e+04,1.471e+04,1.038e+05,1.432e+05
87.7,2.430e+04,1.269e+04,9.053e+04,1.275e+05
89.3,2.374e+04,1.144e+04,7.705e+04,1.122e+05
90.8,2.432e+04,1.092e+04,6.247e+04,9.771e+04
92.4,2.450e+04,1.086e+04,5.082e+04,8.618e+04
94.0,2.428e+04,1.110e+04,4.242e+04,7.781e+04
95.5,2.457e+04,1.240e+04,3.526e+04,7.224e+04
97.1,2.388e+04,1.377e+04,3.005e+04,6.770e+04
98.7,2.336e+04,1.757e+04,2.833e+04,6.925e+04
100.2,2.442e+04,2.347e+04,3.011e+04,7.801e+04
