freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.589e+01,1.429e+02,9.413e+02,1.180e+03
1.6,4.396e+02,5.584e+02,1.142e+03,2.140e+03
3.1,5.778e+02,7.024e+02,9.492e+02,2.230e+03
4.7,6.208e+02,7.568e+02,1.460e+03,2.838e+03
6.2,8.152e+02,8.133e+02,2.725e+03,4.353e+03
7.8,9.371e+02,8.978e+02,3.864e+03,5.699e+03
9.3,1.150e+03,1.248e+03,4.783e+03,7.182e+03
10.9,1.505e+03,1.964e+03,6.652e+03,1.012e+04
12.4,2.431e+03,3.188e+03,1.052e+04,1.614e+04
14.0,2.984e+03,3.849e+03,1.472e+04,2.155e+04
15.5,2.419e+03,2.919e+03,1.538e+04,2.072e+04
17.1,1.623e+03,1.771e+03,1.468e+04,1.807e+04
18.6,1.184e+03,1.219e+03,1.655e+04,1.896e+04
20.2,1.015e+03,1.030e+03,2.275e+04,2.480e+04
21.7,9.204e+02,8.770e+02,2.815e+04,2.995e+04
23.3,9.893e+02,9.492e+02,3.381e+04,3.575e+04
24.9,1.029e+03,8.079e+02,4.301e+04,4.485e+04
26.4,1.069e+03,7.990e+02,5.676e+04,5.863e+04
28.0,1.197e+03,9.084e+02,7.188e+04,7.399e+04
29.5,1.363e+03,1.237e+03,8.935e+04,9.195e+04
31.1,1.432e+03,1.642e+03,1.199e+05,1.230e+05
32.6,1.794e+03,2.319e+03,1.811e+05,1.852e+05
34.2,2.528e+03,3.744e+03,2.989e+05,3.052e+05
35.7,3.591e+03,8.814e+03,5.377e+05,5.501e+05
37.3,6.397e+03,2.688e+04,1.244e+06,1.277e+06
38.8,1.202e+04,6.998e+04,2.652e+06,2.734e+06
40.4,1.706e+04,1.074e+05,3.448e+06,3.572e+06
41.9,1.650e+04,1.007e+05,2.648e+06,2.765e+06
43.5,1.009e+04,7.720e+04,1.556e+06,1.644e+06
45.1,5.204e+03,5.502e+04,8.335e+05,8.937e+05
46.6,4.179e+03,3.639e+04,4.477e+05,4.883e+05
48.2,4.076e+03,2.734e+04,2.963e+05,3.277e+05
49.7,5.187e+03,2.362e+04,2.321e+05,2.609e+05
51.3,1.007e+04,2.118e+04,1.847e+05,2.159e+05
52.8,1.823e+04,2.243e+04,1.690e+05,2.097e+05
54.4,3.188e+04,2.804e+04,1.721e+05,2.320e+05
55.9,3.929e+04,3.104e+04,1.491e+05,2.194e+05
57.5,3.000e+04,2.429e+04,9.467e+04,1.490e+05
59.0,2.608e+04,1.678e+04,5.350e+04,9.636e+04
60.6,2.135e+04,1.354e+04,3.906e+04,7.395e+04
62.1,1.830e+04,1.542e+04,3.461e+04,6.833e+04
63.7,1.692e+04,1.913e+04,3.148e+04,6.753e+04
65.2,1.565e+04,1.710e+04,2.468e+04,5.742e+04
66.8,1.456e+04,1.372e+04,1.968e+04,4.796e+04
68.4,1.247e+04,1.177e+04,1.724e+04,4.148e+04
69.9,1.133e+04,1.196e+04,1.797e+04,4.127e+04
71.5,1.130e+04,1.397e+04,1.968e+04,4.496e+04
73.0,1.161e+04,1.642e+04,2.278e+04,5.081e+04
74.6,1.267e+04,1.902e+04,2.901e+04,6.071e+04
76.1,1.474e+04,2.110e+04,3.258e+04,6.841e+04
77.7,1.744e+04,2.297e+04,3.384e+04,7.425e+04
79.2,2.133e+04,2.339e+04,3.537e+04,8.009e+04
80.8,2.560e+04,2.299e+04,3.549e+04,8.408e+04
82.3,2.953e+04,2.363e+04,3.533e+04,8.849e+04
83.9,3.150e+04,2.519e+04,3.538e+04,9.207e+04
85.4,2.947e+04,2.579e+04,3.568e+04,9.093e+04
87.0,2.419e+04,2.784e+04,3.749e+04,8.952e+04
88.6,2.173e+04,3.642e+04,4.216e+04,1.003e+05
90.1,2.271e+04,5.209e+04,4.870e+04,1.235e+05
91.7,2.106e+04,6.921e+04,5.368e+04,1.440e+05
93.2,1.877e+04,8.750e+04,5.577e+04,1.620e+05
94.8,1.759e+04,1.106e+05,6.009e+04,1.883e+05
96.3,1.673e+04,1.303e+05,6.140e+04,2.085e+05
97.9,2.306e+04,1.553e+05,5.701e+04,2.353e+05
99.4,3.500e+04,1.647e+05,4.602e+04,2.457e+05
101.0,4.648e+04,1.668e+05,3.625e+04,2.495e+05
102.5,5.463e+04,1.762e+05,2.896e+04,2.598e+05
104.1,5.490e+04,1.686e+05,2.240e+04,2.459e+05
105.6,5.233e+04,1.503e+05,1.697e+04,2.196e+05
107.2,4.689e+04,1.423e+05,1.239e+04,2.016e+05
108.7,4.345e+04,1.439e+05,1.106e+04,1.984e+05
110.3,4.024e+04,1.426e+05,1.117e+04,1.941e+05
111.9,4.401e+04,1.418e+05,1.338e+04,1.992e+05
113.4,4.667e+04,1.382e+05,1.727e+04,2.021e+05
115.0,4.336e+04,1.293e+05,2.301e+04,1.957e+05
116.5,4.317e+04,1.167e+05,3.085e+04,1.908e+05
118.1,4.353e+04,9.835e+04,4.017e+04,1.820e+05
119.6,3.734e+04,7.197e+04,4.690e+04,1.562e+05
121.2,3.016e+04,4.840e+04,4.673e+04,1.253e+05
122.7,2.456e+04,2.561e+04,4.081e+04,9.097e+04
124.3,1.988e+04,1.131e+04,3.168e+04,6.287e+04
125.8,1.780e+04,4.953e+03,2.586e+04,4.861e+04
127.4,1.607e+04,3.142e+03,2.335e+04,4.256e+04
128.9,1.389e+04,2.959e+03,2.147e+04,3.831e+04
130.5,1.406e+04,4.044e+03,2.107e+04,3.918e+04
132.1,1.689e+04,4.776e+03,1.907e+04,4.073e+04
133.6,1.742e+04,3.141e+03,8.395e+03,2.895e+04
135.2,1.574e+04,2.816e+03,4.665e+03,2.322e+04
136.7,1.280e+04,3.296e+03,4.102e+03,2.019e+04
138.3,1.013e+04,3.692e+03,3.768e+03,1.759e+04
139.8,8.123e+03,4.163e+03,4.809e+03,1.709e+04
141.4,7.720e+03,3.930e+03,4.719e+03,1.637e+04
142.9,7.611e+03,3.829e+03,4.545e+03,1.598e+04
144.5,7.153e+03,3.209e+03,4.111e+03,1.447e+04
146.0,6.372e+03,2.322e+03,3.117e+03,1.181e+04
147.6,5.342e+03,2.001e+03,2.247e+03,9.589e+03
149.1,4.311e+03,2.223e+03,1.822e+03,8.355e+03
150.7,3.892e+03,2.449e+03,1.968e+03,8.309e+03
152.2,4.591e+03,2.485e+03,2.306e+03,9.382e+03
153.8,5.908e+03,2.885e+03,2.655e+03,1.145e+04
155.4,7.124e+03,3.795e+03,2.923e+03,1.384e+04
156.9,7.705e+03,4.641e+03,3.261e+03,1.561e+04
158.5,8.449e+03,5.685e+03,4.505e+03,1.864e+04
160.0,8.869e+03,5.966e+03,6.775e+03,2.161e+04
161.6,8.191e+03,6.468e+03,8.970e+03,2.363e+04
163.1,8.302e+03,7.307e+03,1.081e+04,2.642e+04
164.7,8.337e+03,7.958e+03,1.224e+04,2.854e+04
166.2,7.832e+03,8.685e+03,1.431e+04,3.083e+04
167.8,7.164e+03,8.177e+03,1.408e+04,2.942e+04
169.3,6.638e+03,7.402e+03,1.281e+04,2.685e+04
170.9,6.711e+03,6.611e+03,1.190e+04,2.523e+04
172.4,7.592e+03,5.550e+03,1.023e+04,2.338e+04
174.0,8.038e+03,5.242e+03,8.870e+03,2.215e+04
175.6,8.108e+03,4.909e+03,8.153e+03,2.117e+04
177.1,7.997e+03,5.349e+03,7.676e+03,2.102e+04
178.7,6.569e+03,5.893e+03,6.263e+03,1.873e+04
180.2,4.193e+03,6.172e+03,5.887e+03,1.625e+04
181.8,3.084e+03,5.698e+03,5.136e+03,1.392e+04
183.3,2.468e+03,4.543e+03,4.326e+03,1.134e+04
184.9,1.947e+03,4.034e+03,4.485e+03,1.047e+04
186.4,1.898e+03,3.998e+03,4.626e+03,1.052e+04
188.0,2.101e+03,3.292e+03,4.226e+03,9.619e+03
189.5,2.371e+03,2.726e+03,3.950e+03,9.047e+03
191.1,2.472e+03,3.159e+03,3.795e+03,9.426e+03
192.6,2.512e+03,4.207e+03,4.670e+03,1.139e+04
194.2,2.509e+03,5.407e+03,5.443e+03,1.336e+04
195.7,2.595e+03,6.381e+03,4.920e+03,1.390e+04
197.3,2.640e+03,6.425e+03,4.699e+03,1.376e+04
198.9,2.404e+03,7.132e+03,5.249e+03,1.479e+04
