freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.865e+02,1.476e+02,2.155e+02,1.150e+03
1.6,8.231e+02,5.837e+02,8.791e+02,2.286e+03
3.1,5.430e+02,6.977e+02,9.427e+02,2.183e+03
4.7,8.559e+02,7.287e+02,9.173e+02,2.502e+03
6.2,1.743e+03,8.332e+02,9.659e+02,3.542e+03
7.8,2.579e+03,6.913e+02,9.515e+02,4.222e+03
9.3,3.172e+03,7.201e+02,9.207e+02,4.813e+03
10.9,4.207e+03,8.504e+02,1.006e+03,6.064e+03
12.4,5.273e+03,8.009e+02,9.867e+02,7.061e+03
14.0,6.444e+03,7.344e+02,1.083e+03,8.262e+03
15.5,7.484e+03,8.368e+02,1.282e+03,9.603e+03
17.1,9.076e+03,1.026e+03,1.723e+03,1.183e+04
18.7,1.149e+04,1.684e+03,2.721e+03,1.589e+04
20.2,1.503e+04,2.545e+03,4.141e+03,2.172e+04
21.8,1.794e+04,2.826e+03,5.152e+03,2.592e+04
23.3,2.027e+04,2.848e+03,4.956e+03,2.808e+04
24.9,2.278e+04,2.550e+03,4.183e+03,2.951e+04
26.4,2.558e+04,2.107e+03,3.428e+03,3.111e+04
28.0,3.006e+04,1.577e+03,2.597e+03,3.424e+04
29.5,3.403e+04,1.266e+03,1.736e+03,3.703e+04
31.1,3.835e+04,1.039e+03,1.585e+03,4.098e+04
32.7,4.362e+04,8.909e+02,1.574e+03,4.609e+04
34.2,5.197e+04,8.953e+02,1.612e+03,5.448e+04
35.8,6.099e+04,8.370e+02,1.656e+03,6.348e+04
37.3,7.219e+04,8.389e+02,1.964e+03,7.499e+04
38.9,8.532e+04,8.833e+02,2.684e+03,8.889e+04
40.4,9.963e+04,1.076e+03,3.675e+03,1.044e+05
42.0,1.246e+05,1.333e+03,4.962e+03,1.309e+05
43.5,1.565e+05,1.764e+03,7.049e+03,1.653e+05
45.1,1.990e+05,2.370e+03,9.513e+03,2.109e+05
46.6,2.588e+05,2.790e+03,1.139e+04,2.730e+05
48.2,3.275e+05,2.882e+03,1.239e+04,3.428e+05
49.8,3.894e+05,3.279e+03,1.213e+04,4.048e+05
51.3,4.808e+05,3.914e+03,1.009e+04,4.948e+05
52.9,6.710e+05,4.615e+03,8.068e+03,6.837e+05
54.4,9.390e+05,5.999e+03,1.687e+04,9.619e+05
56.0,1.341e+06,9.104e+03,3.412e+04,1.385e+06
57.5,1.921e+06,1.438e+04,6.320e+04,1.998e+06
59.1,2.887e+06,2.343e+04,1.180e+05,3.028e+06
60.6,3.672e+06,3.269e+04,1.779e+05,3.883e+06
62.2,3.484e+06,3.836e+04,1.977e+05,3.720e+06
63.7,2.648e+06,4.451e+04,1.713e+05,2.864e+06
65.3,1.771e+06,4.443e+04,1.369e+05,1.953e+06
66.9,1.084e+06,3.691e+04,1.048e+05,1.226e+06
68.4,6.732e+05,2.788e+04,7.376e+04,7.748e+05
70.0,4.159e+05,2.120e+04,5.021e+04,4.873e+05
71.5,2.963e+05,1.775e+04,3.964e+04,3.537e+05
73.1,2.415e+05,1.597e+04,3.380e+04,2.913e+05
74.6,1.881e+05,1.680e+04,3.090e+04,2.358e+05
76.2,1.496e+05,2.083e+04,2.935e+04,1.998e+05
77.7,1.230e+05,2.581e+04,2.920e+04,1.780e+05
79.3,9.402e+04,2.854e+04,2.964e+04,1.522e+05
80.8,7.528e+04,3.070e+04,2.993e+04,1.359e+05
82.4,6.422e+04,3.339e+04,3.071e+04,1.283e+05
84.0,5.639e+04,3.416e+04,3.092e+04,1.215e+05
85.5,5.048e+04,3.338e+04,2.994e+04,1.138e+05
87.1,4.545e+04,3.299e+04,2.849e+04,1.069e+05
88.6,4.198e+04,3.284e+04,2.760e+04,1.024e+05
90.2,3.780e+04,3.390e+04,2.779e+04,9.949e+04
91.7,3.270e+04,3.668e+04,2.991e+04,9.928e+04
93.3,2.807e+04,4.272e+04,3.435e+04,1.051e+05
94.8,2.495e+04,5.380e+04,4.086e+04,1.196e+05
96.4,2.355e+04,6.334e+04,4.592e+04,1.328e+05
98.0,2.250e+04,6.439e+04,4.631e+04,1.332e+05
99.5,2.227e+04,6.691e+04,4.843e+04,1.376e+05
101.1,2.228e+04,7.439e+04,5.422e+04,1.509e+05
102.6,2.156e+04,8.558e+04,5.789e+04,1.650e+05
104.2,2.245e+04,9.278e+04,6.054e+04,1.758e+05
105.7,2.357e+04,8.612e+04,5.649e+04,1.662e+05
107.3,2.401e+04,7.322e+04,5.040e+04,1.476e+05
