freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.426e+02,1.360e+02,2.510e+02,1.030e+03
1.5,6.833e+02,4.916e+02,7.492e+02,1.924e+03
3.1,4.733e+02,5.144e+02,7.709e+02,1.759e+03
4.6,8.028e+02,5.520e+02,8.232e+02,2.178e+03
6.1,1.819e+03,5.571e+02,9.261e+02,3.302e+03
7.7,2.717e+03,5.117e+02,9.474e+02,4.176e+03
9.2,3.281e+03,6.019e+02,9.232e+02,4.806e+03
10.7,4.266e+03,7.012e+02,1.046e+03,6.013e+03
12.3,5.594e+03,6.577e+02,1.118e+03,7.370e+03
13.8,6.979e+03,6.229e+02,1.078e+03,8.680e+03
15.3,8.188e+03,6.566e+02,1.024e+03,9.869e+03
16.9,9.991e+03,6.631e+02,1.035e+03,1.169e+04
18.4,1.215e+04,6.782e+02,9.910e+02,1.382e+04
19.9,1.485e+04,6.653e+02,9.483e+02,1.646e+04
21.4,1.754e+04,6.166e+02,9.888e+02,1.915e+04
23.0,2.040e+04,5.978e+02,1.044e+03,2.204e+04
24.5,2.416e+04,6.528e+02,1.107e+03,2.592e+04
26.0,2.833e+04,7.134e+02,1.294e+03,3.033e+04
27.6,3.397e+04,9.240e+02,1.538e+03,3.643e+04
29.1,4.047e+04,9.527e+02,1.558e+03,4.298e+04
30.6,4.682e+04,8.396e+02,1.602e+03,4.926e+04
32.2,5.678e+04,6.357e+02,1.784e+03,5.920e+04
33.7,6.980e+04,5.706e+02,1.967e+03,7.234e+04
35.2,8.380e+04,6.889e+02,2.361e+03,8.685e+04
36.8,1.010e+05,9.863e+02,3.199e+03,1.052e+05
38.3,1.198e+05,1.049e+03,4.144e+03,1.250e+05
39.8,1.411e+05,1.143e+03,5.194e+03,1.475e+05
41.4,1.770e+05,1.394e+03,7.184e+03,1.856e+05
42.9,2.236e+05,1.864e+03,9.926e+03,2.354e+05
44.4,2.755e+05,2.465e+03,1.201e+04,2.900e+05
46.0,3.594e+05,2.945e+03,1.507e+04,3.775e+05
47.5,4.765e+05,3.508e+03,1.758e+04,4.976e+05
49.0,6.021e+05,4.007e+03,1.580e+04,6.219e+05
50.6,7.756e+05,5.044e+03,1.793e+04,7.985e+05
52.1,1.246e+06,7.781e+03,3.565e+04,1.289e+06
53.6,2.021e+06,1.138e+04,7.157e+04,2.103e+06
55.2,2.393e+06,1.581e+04,1.076e+05,2.517e+06
56.7,2.179e+06,2.146e+04,1.382e+05,2.338e+06
58.2,1.769e+06,2.264e+04,1.456e+05,1.938e+06
59.7,1.290e+06,1.932e+04,1.306e+05,1.440e+06
61.3,8.737e+05,1.729e+04,1.104e+05,1.001e+06
62.8,5.736e+05,1.707e+04,9.096e+04,6.816e+05
64.3,3.695e+05,1.894e+04,7.766e+04,4.661e+05
65.9,2.325e+05,1.990e+04,6.721e+04,3.196e+05
67.4,1.410e+05,1.886e+04,5.465e+04,2.146e+05
68.9,8.912e+04,1.807e+04,4.416e+04,1.513e+05
70.5,6.252e+04,1.808e+04,3.918e+04,1.198e+05
72.0,4.217e+04,1.758e+04,3.708e+04,9.682e+04
73.5,2.748e+04,1.806e+04,3.659e+04,8.213e+04
75.1,1.809e+04,2.045e+04,3.704e+04,7.559e+04
76.6,1.189e+04,2.488e+04,3.977e+04,7.654e+04
78.1,8.487e+03,3.106e+04,4.442e+04,8.397e+04
79.7,6.647e+03,3.393e+04,4.758e+04,8.816e+04
81.2,5.558e+03,3.379e+04,4.908e+04,8.843e+04
82.7,4.665e+03,3.357e+04,4.975e+04,8.799e+04
84.3,4.870e+03,3.423e+04,5.104e+04,9.014e+04
85.8,6.786e+03,3.526e+04,5.164e+04,9.369e+04
87.3,1.021e+04,3.645e+04,5.250e+04,9.916e+04
88.9,1.552e+04,4.088e+04,5.696e+04,1.134e+05
90.4,2.116e+04,4.946e+04,6.691e+04,1.375e+05
91.9,2.764e+04,6.087e+04,8.159e+04,1.701e+05
93.5,3.478e+04,7.928e+04,1.016e+05,2.156e+05
95.0,4.423e+04,1.040e+05,1.277e+05,2.760e+05
96.5,5.928e+04,1.354e+05,1.600e+05,3.547e+05
98.0,8.188e+04,1.641e+05,1.895e+05,4.355e+05
99.6,1.023e+05,1.758e+05,2.093e+05,4.874e+05
101.1,1.237e+05,1.823e+05,2.265e+05,5.325e+05
102.6,1.458e+05,1.950e+05,2.312e+05,5.720e+05
104.2,1.426e+05,1.989e+05,2.004e+05,5.419e+05
105.7,1.346e+05,2.015e+05,1.751e+05,5.112e+05
107.2,1.619e+05,2.102e+05,1.994e+05,5.714e+05
108.8,2.295e+05,2.200e+05,2.551e+05,7.045e+05
110.3,3.004e+05,2.400e+05,3.133e+05,8.537e+05
111.8,3.540e+05,2.688e+05,3.707e+05,9.935e+05
113.4,4.174e+05,2.900e+05,4.300e+05,1.138e+06
114.9,4.934e+05,3.018e+05,4.886e+05,1.284e+06
116.4,5.771e+05,2.913e+05,5.412e+05,1.410e+06
118.0,6.839e+05,2.550e+05,5.784e+05,1.517e+06
119.5,8.312e+05,2.086e+05,6.265e+05,1.666e+06
121.0,9.319e+05,1.718e+05,6.462e+05,1.750e+06
122.6,8.908e+05,1.443e+05,5.614e+05,1.596e+06
124.1,9.859e+05,1.567e+05,5.938e+05,1.736e+06
125.6,1.474e+06,2.155e+05,8.707e+05,2.560e+06
127.2,1.958e+06,2.676e+05,1.009e+06,3.235e+06
128.7,1.981e+06,3.247e+05,9.266e+05,3.232e+06
130.2,1.924e+06,4.395e+05,8.935e+05,3.257e+06
131.8,1.680e+06,5.406e+05,7.978e+05,3.019e+06
133.3,7.430e+05,3.033e+05,3.522e+05,1.399e+06
134.8,1.218e+05,7.845e+04,4.308e+04,2.433e+05
136.3,7.098e+04,7.070e+04,2.113e+04,1.628e+05
137.9,5.391e+04,7.631e+04,1.942e+04,1.496e+05
139.4,4.165e+04,8.050e+04,2.017e+04,1.423e+05
140.9,3.428e+04,8.250e+04,2.012e+04,1.369e+05
142.5,2.781e+04,8.510e+04,2.052e+04,1.334e+05
144.0,2.299e+04,9.059e+04,2.243e+04,1.360e+05
145.5,2.012e+04,9.371e+04,2.507e+04,1.389e+05
147.1,1.794e+04,9.571e+04,2.754e+04,1.412e+05
148.6,1.690e+04,1.013e+05,3.156e+04,1.498e+05
150.1,1.799e+04,1.133e+05,3.998e+04,1.712e+05
151.7,1.770e+04,1.223e+05,4.592e+04,1.859e+05
153.2,1.755e+04,1.340e+05,4.967e+04,2.012e+05
154.7,1.655e+04,1.543e+05,5.598e+04,2.268e+05
156.3,1.539e+04,1.896e+05,6.341e+04,2.685e+05
157.8,1.291e+04,2.350e+05,6.953e+04,3.174e+05
159.3,1.021e+04,2.790e+05,7.629e+04,3.655e+05
160.9,8.590e+03,2.961e+05,7.771e+04,3.825e+05
162.4,5.516e+03,2.946e+05,7.324e+04,3.734e+05
163.9,3.877e+03,2.760e+05,6.886e+04,3.487e+05
165.5,4.293e+03,2.497e+05,6.513e+04,3.191e+05
167.0,3.807e+03,2.102e+05,5.525e+04,2.693e+05
168.5,3.063e+03,1.759e+05,4.365e+04,2.226e+05
170.1,3.277e+03,1.438e+05,3.383e+04,1.809e+05
171.6,5.018e+03,1.063e+05,2.367e+04,1.350e+05
173.1,8.438e+03,7.894e+04,1.635e+04,1.037e+05
174.7,1.152e+04,6.619e+04,1.379e+04,9.149e+04
176.2,1.357e+04,6.100e+04,1.393e+04,8.851e+04
177.7,1.531e+04,5.812e+04,1.587e+04,8.930e+04
179.2,1.758e+04,5.935e+04,1.733e+04,9.426e+04
180.8,1.832e+04,6.458e+04,1.831e+04,1.012e+05
182.3,1.596e+04,6.824e+04,1.955e+04,1.038e+05
183.8,1.328e+04,6.879e+04,1.985e+04,1.019e+05
185.4,1.109e+04,6.607e+04,1.987e+04,9.703e+04
186.9,9.652e+03,6.280e+04,1.999e+04,9.245e+04
188.4,9.028e+03,5.696e+04,2.060e+04,8.658e+04
190.0,7.956e+03,5.047e+04,1.921e+04,7.764e+04
191.5,7.369e+03,4.558e+04,1.747e+04,7.043e+04
193.0,7.713e+03,4.203e+04,1.705e+04,6.679e+04
194.6,7.675e+03,3.920e+04,1.725e+04,6.413e+04
196.1,7.310e+03,3.735e+04,1.584e+04,6.050e+04
197.6,6.989e+03,3.595e+04,1.498e+04,5.792e+04
199.2,7.335e+03,3.484e+04,1.505e+04,5.722e+04
