freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.338e+01,5.403e+02,2.051e+02,7.788e+02
1.5,7.779e+01,5.787e+02,1.682e+02,8.247e+02
3.1,7.371e+01,3.940e+02,8.218e+01,5.499e+02
4.6,5.766e+01,7.266e+02,7.746e+01,8.617e+02
6.1,6.644e+01,1.850e+03,7.000e+01,1.987e+03
7.7,6.868e+01,2.234e+03,6.835e+01,2.371e+03
9.2,5.878e+01,3.043e+03,7.701e+01,3.179e+03
10.7,6.720e+01,4.373e+03,7.585e+01,4.516e+03
12.3,8.164e+01,6.113e+03,7.629e+01,6.271e+03
13.8,5.316e+01,8.158e+03,7.139e+01,8.282e+03
15.3,8.404e+01,1.082e+04,6.662e+01,1.097e+04
16.9,7.607e+01,1.369e+04,6.732e+01,1.384e+04
18.4,5.252e+01,1.674e+04,7.845e+01,1.688e+04
20.0,7.704e+01,2.027e+04,9.616e+01,2.044e+04
21.5,6.551e+01,2.492e+04,1.270e+02,2.512e+04
23.0,5.474e+01,3.213e+04,1.791e+02,3.236e+04
24.6,7.030e+01,4.007e+04,2.804e+02,4.042e+04
26.1,9.280e+01,4.580e+04,3.501e+02,4.624e+04
27.6,1.249e+02,5.292e+04,3.873e+02,5.343e+04
29.2,1.232e+02,6.084e+04,4.940e+02,6.146e+04
30.7,1.482e+02,7.654e+04,5.908e+02,7.728e+04
32.2,2.614e+02,1.025e+05,8.473e+02,1.036e+05
33.8,5.414e+02,1.362e+05,1.674e+03,1.384e+05
35.3,2.337e+03,2.009e+05,3.613e+03,2.069e+05
36.8,6.286e+03,3.274e+05,7.358e+03,3.411e+05
38.4,1.010e+04,5.317e+05,1.543e+04,5.572e+05
39.9,1.756e+04,7.488e+05,2.779e+04,7.941e+05
41.4,2.665e+04,9.062e+05,4.251e+04,9.754e+05
43.0,2.876e+04,1.143e+06,8.981e+04,1.262e+06
44.5,2.702e+04,1.175e+06,1.417e+05,1.344e+06
46.0,2.877e+04,1.000e+06,1.465e+05,1.175e+06
47.6,3.245e+04,7.925e+05,1.274e+05,9.524e+05
49.1,3.542e+04,6.368e+05,1.191e+05,7.914e+05
50.7,3.791e+04,5.246e+05,1.170e+05,6.795e+05
52.2,4.050e+04,4.018e+05,9.743e+04,5.397e+05
53.7,4.524e+04,3.039e+05,8.471e+04,4.339e+05
55.3,4.687e+04,2.590e+05,9.297e+04,3.988e+05
56.8,2.654e+04,2.330e+05,1.185e+05,3.781e+05
58.3,1.583e+04,2.192e+05,1.412e+05,3.762e+05
59.9,2.409e+04,2.118e+05,1.690e+05,4.049e+05
61.4,2.056e+04,1.985e+05,3.263e+05,5.454e+05
62.9,1.821e+04,1.539e+05,7.111e+05,8.832e+05
64.5,1.827e+04,1.160e+05,8.491e+05,9.834e+05
66.0,1.282e+04,9.799e+04,8.145e+05,9.253e+05
67.5,7.311e+03,7.244e+04,8.667e+05,9.464e+05
69.1,7.302e+03,5.763e+04,8.085e+05,8.734e+05
70.6,1.022e+04,4.914e+04,7.150e+05,7.744e+05
72.1,1.180e+04,3.999e+04,6.275e+05,6.793e+05
73.7,7.740e+03,3.147e+04,5.036e+05,5.428e+05
75.2,4.217e+03,2.665e+04,3.693e+05,4.001e+05
76.7,3.269e+03,2.598e+04,2.685e+05,2.977e+05
78.3,3.714e+03,2.716e+04,2.035e+05,2.344e+05
79.8,3.845e+03,2.854e+04,1.760e+05,2.084e+05
81.3,4.013e+03,2.901e+04,1.660e+05,1.991e+05
82.9,4.655e+03,2.822e+04,1.555e+05,1.883e+05
84.4,6.576e+03,2.755e+04,1.418e+05,1.759e+05
86.0,1.003e+04,2.779e+04,1.354e+05,1.732e+05
87.5,1.295e+04,2.824e+04,1.296e+05,1.708e+05
89.0,1.437e+04,2.817e+04,1.126e+05,1.551e+05
90.6,1.460e+04,2.788e+04,9.540e+04,1.379e+05
92.1,1.393e+04,2.786e+04,8.032e+04,1.221e+05
93.6,1.332e+04,2.757e+04,6.633e+04,1.072e+05
95.2,1.242e+04,2.720e+04,5.275e+04,9.237e+04
96.7,1.175e+04,2.728e+04,4.113e+04,8.016e+04
98.2,1.191e+04,2.782e+04,3.611e+04,7.583e+04
99.8,1.170e+04,2.771e+04,3.234e+04,7.175e+04
101.3,1.126e+04,2.736e+04,2.742e+04,6.604e+04
102.8,1.053e+04,2.631e+04,2.330e+04,6.014e+04
104.4,9.082e+03,2.458e+04,2.100e+04,5.466e+04
105.9,7.804e+03,2.259e+04,2.180e+04,5.219e+04
107.4,7.817e+03,2.028e+04,2.555e+04,5.365e+04
109.0,8.888e+03,1.798e+04,3.728e+04,6.416e+04
110.5,9.522e+03,1.590e+04,5.872e+04,8.414e+04
112.0,8.509e+03,1.467e+04,7.903e+04,1.022e+05
113.6,5.808e+03,1.280e+04,8.651e+04,1.051e+05
115.1,5.372e+03,1.097e+04,8.466e+04,1.010e+05
116.7,6.203e+03,9.914e+03,7.818e+04,9.430e+04
118.2,6.426e+03,9.270e+03,6.938e+04,8.507e+04
119.7,6.783e+03,8.646e+03,5.886e+04,7.429e+04
121.3,6.302e+03,8.589e+03,4.692e+04,6.181e+04
122.8,6.087e+03,1.002e+04,4.136e+04,5.747e+04
124.3,7.283e+03,1.223e+04,4.395e+04,6.346e+04
125.9,7.114e+03,1.478e+04,4.917e+04,7.107e+04
127.4,7.570e+03,1.540e+04,4.918e+04,7.216e+04
128.9,9.166e+03,1.494e+04,4.626e+04,7.036e+04
130.5,1.074e+04,1.418e+04,4.295e+04,6.788e+04
132.0,9.886e+03,1.276e+04,3.992e+04,6.257e+04
133.5,7.316e+03,6.469e+03,2.866e+04,4.244e+04
135.1,5.370e+03,2.889e+03,2.099e+04,2.925e+04
136.6,3.723e+03,2.861e+03,1.883e+04,2.542e+04
138.1,2.774e+03,2.136e+03,1.544e+04,2.035e+04
139.7,2.606e+03,1.811e+03,1.211e+04,1.653e+04
141.2,2.670e+03,1.783e+03,9.194e+03,1.365e+04
