freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.519e+02,1.860e+02,2.189e+02,1.157e+03
1.6,8.442e+02,7.924e+02,8.926e+02,2.529e+03
3.1,6.155e+02,9.010e+02,1.192e+03,2.708e+03
4.7,1.235e+03,8.699e+02,1.210e+03,3.315e+03
6.2,2.723e+03,1.006e+03,1.188e+03,4.916e+03
7.8,4.053e+03,9.889e+02,1.094e+03,6.136e+03
9.3,4.703e+03,9.671e+02,1.058e+03,6.728e+03
10.9,6.100e+03,1.095e+03,1.122e+03,8.318e+03
12.4,8.233e+03,1.027e+03,9.959e+02,1.026e+04
14.0,1.003e+04,1.142e+03,1.243e+03,1.241e+04
15.6,1.216e+04,1.174e+03,1.391e+03,1.472e+04
17.1,1.500e+04,1.143e+03,1.416e+03,1.756e+04
18.7,1.858e+04,1.534e+03,1.924e+03,2.203e+04
20.2,2.287e+04,2.263e+03,3.367e+03,2.850e+04
21.8,2.678e+04,2.748e+03,4.865e+03,3.439e+04
23.3,3.190e+04,3.178e+03,5.386e+03,4.047e+04
24.9,3.807e+04,2.900e+03,5.001e+03,4.597e+04
26.4,4.364e+04,2.391e+03,3.757e+03,4.978e+04
28.0,5.040e+04,2.011e+03,3.339e+03,5.575e+04
29.5,5.666e+04,1.682e+03,3.043e+03,6.138e+04
31.1,6.347e+04,1.460e+03,2.608e+03,6.754e+04
32.7,7.582e+04,1.228e+03,2.432e+03,7.948e+04
34.2,9.151e+04,1.382e+03,2.891e+03,9.579e+04
35.8,1.060e+05,1.552e+03,3.421e+03,1.110e+05
37.3,1.231e+05,1.629e+03,4.211e+03,1.290e+05
38.9,1.465e+05,1.821e+03,5.587e+03,1.539e+05
40.4,1.753e+05,2.276e+03,6.638e+03,1.842e+05
42.0,2.197e+05,3.014e+03,8.514e+03,2.313e+05
43.5,2.737e+05,3.494e+03,1.098e+04,2.882e+05
45.1,3.387e+05,3.888e+03,1.242e+04,3.550e+05
46.7,4.446e+05,4.507e+03,1.442e+04,4.636e+05
48.2,5.920e+05,4.949e+03,1.714e+04,6.141e+05
49.8,7.842e+05,5.773e+03,2.082e+04,8.108e+05
51.3,1.031e+06,6.939e+03,3.381e+04,1.072e+06
52.9,1.290e+06,9.779e+03,7.142e+04,1.371e+06
54.4,1.734e+06,1.332e+04,1.178e+05,1.865e+06
56.0,2.575e+06,1.682e+04,1.717e+05,2.763e+06
57.5,3.173e+06,2.328e+04,2.212e+05,3.418e+06
59.1,3.414e+06,3.068e+04,2.919e+05,3.736e+06
60.6,3.021e+06,3.158e+04,3.175e+05,3.370e+06
62.2,2.151e+06,2.599e+04,2.707e+05,2.447e+06
63.8,1.465e+06,2.625e+04,2.180e+05,1.709e+06
65.3,1.072e+06,3.028e+04,1.879e+05,1.290e+06
66.9,7.558e+05,3.053e+04,1.538e+05,9.402e+05
68.4,4.783e+05,2.674e+04,1.165e+05,6.215e+05
70.0,3.260e+05,2.352e+04,9.568e+04,4.452e+05
71.5,2.325e+05,2.185e+04,8.338e+04,3.377e+05
73.1,1.577e+05,2.348e+04,7.304e+04,2.542e+05
74.6,1.104e+05,2.888e+04,6.853e+04,2.078e+05
76.2,7.758e+04,3.705e+04,6.842e+04,1.831e+05
77.8,5.217e+04,4.452e+04,6.981e+04,1.665e+05
79.3,3.545e+04,5.232e+04,7.163e+04,1.594e+05
80.9,2.510e+04,5.761e+04,7.557e+04,1.583e+05
82.4,1.702e+04,5.955e+04,7.786e+04,1.544e+05
84.0,1.057e+04,4.632e+04,6.001e+04,1.169e+05
85.5,4.333e+03,1.091e+04,1.439e+04,2.963e+04
87.1,3.180e+03,2.780e+03,3.480e+03,9.440e+03
88.6,3.378e+03,3.106e+03,3.728e+03,1.021e+04
90.2,3.365e+03,3.843e+03,4.211e+03,1.142e+04
91.7,3.315e+03,4.852e+03,4.381e+03,1.255e+04
93.3,3.538e+03,6.672e+03,5.202e+03,1.541e+04
94.9,4.108e+03,8.288e+03,6.826e+03,1.922e+04
96.4,5.088e+03,9.686e+03,7.959e+03,2.273e+04
98.0,5.947e+03,1.017e+04,8.761e+03,2.487e+04
99.5,7.659e+03,1.005e+04,9.136e+03,2.685e+04
101.1,7.683e+03,9.206e+03,1.009e+04,2.698e+04
102.6,7.467e+03,9.944e+03,1.014e+04,2.756e+04
104.2,7.305e+03,1.112e+04,1.003e+04,2.845e+04
105.7,7.509e+03,1.229e+04,1.120e+04,3.100e+04
107.3,8.995e+03,1.309e+04,1.209e+04,3.417e+04
108.9,1.047e+04,1.737e+04,1.287e+04,4.070e+04
110.4,8.515e+03,2.269e+04,1.220e+04,4.341e+04
112.0,7.863e+03,2.751e+04,1.132e+04,4.669e+04
113.5,1.150e+04,3.234e+04,1.296e+04,5.679e+04
115.1,1.823e+04,3.305e+04,1.711e+04,6.839e+04
116.6,2.603e+04,3.261e+04,2.306e+04,8.170e+04
118.2,3.329e+04,3.432e+04,3.006e+04,9.768e+04
119.7,3.874e+04,3.396e+04,3.313e+04,1.058e+05
121.3,3.744e+04,3.206e+04,3.067e+04,1.002e+05
122.8,3.725e+04,3.236e+04,3.099e+04,1.006e+05
124.4,4.129e+04,3.730e+04,3.380e+04,1.124e+05
126.0,5.177e+04,4.601e+04,3.559e+04,1.334e+05
127.5,6.776e+04,5.699e+04,3.830e+04,1.631e+05
129.1,8.645e+04,6.004e+04,3.940e+04,1.859e+05
130.6,1.155e+05,6.360e+04,4.351e+04,2.226e+05
132.2,1.323e+05,6.851e+04,4.508e+04,2.459e+05
133.7,1.264e+05,7.685e+04,3.865e+04,2.419e+05
135.3,1.067e+05,8.620e+04,2.951e+04,2.224e+05
136.8,8.397e+04,9.435e+04,2.132e+04,1.996e+05
138.4,6.418e+04,9.783e+04,1.602e+04,1.780e+05
140.0,4.850e+04,9.510e+04,1.289e+04,1.565e+05
141.5,3.686e+04,8.917e+04,1.152e+04,1.376e+05
143.1,2.970e+04,8.325e+04,1.168e+04,1.246e+05
144.6,2.624e+04,8.148e+04,1.308e+04,1.208e+05
146.2,2.366e+04,8.371e+04,1.605e+04,1.234e+05
147.7,2.260e+04,9.361e+04,2.124e+04,1.375e+05
149.3,2.333e+04,1.158e+05,3.186e+04,1.710e+05
150.8,2.264e+04,1.323e+05,4.269e+04,1.976e+05
152.4,2.004e+04,1.424e+05,4.674e+04,2.092e+05
153.9,1.891e+04,1.629e+05,5.447e+04,2.362e+05
155.5,1.980e+04,1.833e+05,6.604e+04,2.692e+05
157.1,1.991e+04,2.068e+05,7.721e+04,3.040e+05
158.6,2.150e+04,2.301e+05,8.701e+04,3.387e+05
160.2,2.441e+04,2.402e+05,9.600e+04,3.606e+05
161.7,2.610e+04,2.378e+05,1.008e+05,3.647e+05
163.3,2.675e+04,2.527e+05,1.085e+05,3.879e+05
164.8,2.828e+04,2.808e+05,1.185e+05,4.276e+05
166.4,3.234e+04,3.073e+05,1.328e+05,4.724e+05
167.9,3.317e+04,3.194e+05,1.433e+05,4.959e+05
169.5,3.385e+04,3.187e+05,1.436e+05,4.961e+05
171.1,3.592e+04,3.156e+05,1.444e+05,4.960e+05
172.6,3.798e+04,3.092e+05,1.421e+05,4.893e+05
174.2,2.914e+04,2.771e+05,1.257e+05,4.319e+05
175.7,1.850e+04,2.410e+05,1.031e+05,3.626e+05
177.3,1.009e+04,2.000e+05,8.049e+04,2.906e+05
178.8,4.947e+03,1.574e+05,6.126e+04,2.236e+05
180.4,3.267e+03,1.225e+05,4.474e+04,1.705e+05
181.9,3.330e+03,9.823e+04,3.413e+04,1.357e+05
183.5,4.702e+03,7.933e+04,2.883e+04,1.129e+05
185.0,6.126e+03,6.670e+04,2.513e+04,9.795e+04
186.6,8.237e+03,6.341e+04,2.323e+04,9.487e+04
188.2,9.848e+03,6.464e+04,2.245e+04,9.694e+04
189.7,9.324e+03,6.438e+04,1.979e+04,9.349e+04
191.3,8.137e+03,6.129e+04,1.795e+04,8.737e+04
192.8,7.849e+03,5.584e+04,1.703e+04,8.072e+04
194.4,8.218e+03,4.536e+04,1.671e+04,7.029e+04
195.9,8.508e+03,3.982e+04,1.392e+04,6.224e+04
197.5,8.006e+03,3.285e+04,1.174e+04,5.260e+04
199.0,9.209e+03,2.715e+04,1.184e+04,4.819e+04
