freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.861e+01,3.947e+02,1.457e+01,4.579e+02
1.6,4.882e+01,2.857e+02,6.624e+01,4.008e+02
3.1,2.867e+01,1.201e+02,7.729e+01,2.261e+02
4.7,2.950e+01,4.455e+02,8.248e+01,5.575e+02
6.3,2.910e+01,1.334e+03,8.393e+01,1.447e+03
7.8,3.263e+01,2.227e+03,7.957e+01,2.339e+03
9.4,3.299e+01,3.154e+03,8.457e+01,3.271e+03
10.9,3.223e+01,4.269e+03,8.324e+01,4.384e+03
12.5,3.086e+01,5.995e+03,8.221e+01,6.108e+03
14.1,3.132e+01,8.350e+03,7.842e+01,8.459e+03
15.6,3.126e+01,1.116e+04,8.026e+01,1.127e+04
17.2,3.414e+01,1.379e+04,8.146e+01,1.390e+04
18.8,3.211e+01,1.631e+04,9.373e+01,1.644e+04
20.3,3.086e+01,1.939e+04,9.870e+01,1.952e+04
21.9,3.141e+01,2.360e+04,9.413e+01,2.373e+04
23.5,3.231e+01,2.955e+04,9.173e+01,2.968e+04
25.0,3.853e+01,3.718e+04,8.999e+01,3.731e+04
26.6,4.554e+01,4.750e+04,9.097e+01,4.763e+04
28.1,7.564e+01,5.730e+04,9.154e+01,5.747e+04
29.7,1.259e+02,6.777e+04,8.962e+01,6.798e+04
31.3,2.076e+02,8.343e+04,8.308e+01,8.373e+04
32.8,3.432e+02,1.023e+05,8.143e+01,1.027e+05
34.4,5.300e+02,1.242e+05,7.427e+01,1.248e+05
36.0,1.066e+03,1.703e+05,9.359e+01,1.715e+05
37.5,2.716e+03,2.475e+05,1.819e+02,2.504e+05
39.1,4.720e+03,3.799e+05,3.142e+02,3.849e+05
40.7,8.601e+03,5.716e+05,4.360e+02,5.806e+05
42.2,1.827e+04,7.349e+05,6.899e+02,7.539e+05
43.8,2.662e+04,7.338e+05,1.046e+03,7.614e+05
45.3,2.591e+04,5.749e+05,1.464e+03,6.023e+05
46.9,2.269e+04,4.100e+05,2.127e+03,4.348e+05
48.5,2.175e+04,3.000e+05,2.497e+03,3.242e+05
50.0,2.280e+04,2.363e+05,1.771e+03,2.609e+05
51.6,2.202e+04,1.808e+05,1.404e+03,2.043e+05
53.2,1.737e+04,1.309e+05,1.773e+03,1.500e+05
54.7,1.492e+04,9.980e+04,2.159e+03,1.169e+05
56.3,1.541e+04,7.985e+04,1.934e+03,9.719e+04
57.9,1.967e+04,5.894e+04,1.317e+03,7.993e+04
59.4,2.710e+04,3.881e+04,7.765e+02,6.669e+04
61.0,3.976e+04,2.389e+04,6.405e+02,6.429e+04
62.5,6.577e+04,1.907e+04,8.426e+02,8.569e+04
64.1,9.401e+04,3.080e+04,6.538e+02,1.255e+05
65.7,1.059e+05,5.085e+04,5.693e+02,1.573e+05
67.2,1.107e+05,8.050e+04,5.639e+02,1.917e+05
68.8,1.155e+05,1.126e+05,4.700e+02,2.286e+05
70.4,1.122e+05,1.026e+05,4.893e+02,2.153e+05
71.9,1.184e+05,1.180e+05,5.996e+02,2.370e+05
73.5,1.222e+05,1.488e+05,1.187e+03,2.722e+05
75.1,1.135e+05,1.615e+05,4.076e+03,2.791e+05
76.6,1.045e+05,1.606e+05,6.817e+03,2.719e+05
78.2,9.419e+04,1.586e+05,7.132e+03,2.599e+05
79.7,8.685e+04,1.583e+05,6.674e+03,2.518e+05
81.3,8.183e+04,1.549e+05,6.008e+03,2.428e+05
82.9,7.730e+04,1.471e+05,6.029e+03,2.304e+05
84.4,7.665e+04,1.422e+05,6.267e+03,2.252e+05
86.0,7.631e+04,1.385e+05,5.795e+03,2.206e+05
87.6,7.286e+04,1.305e+05,5.438e+03,2.088e+05
89.1,6.792e+04,1.182e+05,6.252e+03,1.924e+05
90.7,6.227e+04,1.041e+05,7.602e+03,1.740e+05
92.3,5.583e+04,9.044e+04,8.766e+03,1.550e+05
93.8,4.892e+04,7.903e+04,8.551e+03,1.365e+05
95.4,4.214e+04,6.899e+04,7.525e+03,1.187e+05
96.9,3.504e+04,6.161e+04,5.611e+03,1.023e+05
98.5,2.818e+04,5.975e+04,3.027e+03,9.096e+04
100.1,2.224e+04,6.077e+04,2.070e+03,8.509e+04
101.6,1.844e+04,6.236e+04,1.441e+03,8.223e+04
103.2,1.517e+04,6.155e+04,1.194e+03,7.791e+04
104.8,1.213e+04,5.801e+04,2.276e+03,7.241e+04
106.3,9.680e+03,5.586e+04,3.879e+03,6.942e+04
107.9,8.020e+03,5.689e+04,4.127e+03,6.904e+04
109.5,7.142e+03,6.147e+04,4.158e+03,7.277e+04
111.0,6.001e+03,7.242e+04,3.808e+03,8.223e+04
112.6,4.669e+03,9.394e+04,3.253e+03,1.019e+05
114.1,4.331e+03,1.260e+05,3.711e+03,1.340e+05
115.7,7.927e+03,1.494e+05,5.666e+03,1.630e+05
117.3,1.751e+04,1.593e+05,9.785e+03,1.866e+05
118.8,2.671e+04,1.510e+05,1.171e+04,1.894e+05
120.4,2.981e+04,1.214e+05,1.132e+04,1.625e+05
122.0,2.670e+04,8.646e+04,1.011e+04,1.233e+05
123.5,2.390e+04,7.880e+04,8.256e+03,1.110e+05
125.1,2.032e+04,8.445e+04,6.988e+03,1.118e+05
126.7,1.701e+04,9.315e+04,7.118e+03,1.173e+05
128.2,1.501e+04,9.732e+04,7.969e+03,1.203e+05
129.8,1.405e+04,9.755e+04,9.148e+03,1.208e+05
131.3,1.261e+04,9.455e+04,8.954e+03,1.161e+05
132.9,7.229e+03,5.718e+04,6.718e+03,7.113e+04
134.5,1.643e+03,1.376e+04,3.978e+03,1.938e+04
136.0,9.740e+02,1.058e+04,2.946e+03,1.450e+04
137.6,1.031e+03,1.160e+04,2.616e+03,1.524e+04
139.2,1.247e+03,1.072e+04,2.485e+03,1.445e+04
140.7,1.562e+03,9.429e+03,2.508e+03,1.350e+04
142.3,1.997e+03,9.998e+03,3.272e+03,1.527e+04
143.9,2.581e+03,1.029e+04,4.791e+03,1.766e+04
145.4,2.836e+03,9.426e+03,5.732e+03,1.799e+04
147.0,3.188e+03,8.067e+03,5.878e+03,1.713e+04
