freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.149e+02,1.374e+02,1.071e+03,1.323e+03
1.6,4.017e+02,5.728e+02,1.300e+03,2.274e+03
3.1,5.194e+02,6.947e+02,9.962e+02,2.210e+03
4.7,5.445e+02,6.923e+02,1.492e+03,2.729e+03
6.2,5.529e+02,6.992e+02,2.501e+03,3.753e+03
7.8,6.367e+02,7.238e+02,3.425e+03,4.786e+03
9.3,7.503e+02,7.564e+02,4.104e+03,5.610e+03
10.9,6.583e+02,8.198e+02,4.764e+03,6.242e+03
12.4,7.504e+02,1.060e+03,6.575e+03,8.385e+03
14.0,1.022e+03,1.166e+03,9.679e+03,1.187e+04
15.5,1.543e+03,1.682e+03,1.308e+04,1.631e+04
17.1,2.272e+03,2.958e+03,1.709e+04,2.232e+04
18.7,2.715e+03,3.583e+03,2.086e+04,2.716e+04
20.2,2.507e+03,3.029e+03,2.477e+04,3.031e+04
21.8,1.564e+03,1.883e+03,3.007e+04,3.351e+04
23.3,1.067e+03,1.286e+03,3.505e+04,3.741e+04
24.9,9.835e+02,1.043e+03,4.141e+04,4.344e+04
26.4,9.280e+02,9.525e+02,5.178e+04,5.366e+04
28.0,9.368e+02,8.865e+02,6.420e+04,6.603e+04
29.5,9.449e+02,9.916e+02,7.667e+04,7.861e+04
31.1,9.104e+02,1.150e+03,9.446e+04,9.652e+04
32.6,8.324e+02,1.466e+03,1.265e+05,1.288e+05
34.2,8.809e+02,1.901e+03,1.828e+05,1.856e+05
35.7,1.064e+03,2.367e+03,2.738e+05,2.772e+05
37.3,1.777e+03,4.607e+03,5.067e+05,5.131e+05
38.9,4.324e+03,1.399e+04,1.116e+06,1.134e+06
40.4,1.310e+04,3.307e+04,2.355e+06,2.401e+06
42.0,2.726e+04,5.730e+04,3.757e+06,3.841e+06
43.5,2.763e+04,6.549e+04,3.476e+06,3.569e+06
45.1,1.760e+04,5.751e+04,2.313e+06,2.388e+06
46.6,1.053e+04,4.755e+04,1.501e+06,1.559e+06
48.2,8.011e+03,3.807e+04,9.688e+05,1.015e+06
49.7,5.819e+03,2.906e+04,5.970e+05,6.319e+05
51.3,4.851e+03,2.390e+04,4.084e+05,4.372e+05
52.8,5.035e+03,2.340e+04,3.572e+05,3.856e+05
54.4,6.515e+03,2.614e+04,3.419e+05,3.745e+05
56.0,9.214e+03,2.819e+04,3.024e+05,3.398e+05
57.5,1.245e+04,2.628e+04,2.498e+05,2.885e+05
59.1,2.518e+04,2.530e+04,2.248e+05,2.753e+05
60.6,6.726e+04,2.087e+04,1.716e+05,2.597e+05
62.2,9.928e+04,1.331e+04,9.925e+04,2.118e+05
63.7,8.474e+04,1.051e+04,6.441e+04,1.597e+05
65.3,6.351e+04,1.191e+04,5.058e+04,1.260e+05
66.8,4.265e+04,1.403e+04,4.292e+04,9.960e+04
68.4,2.767e+04,1.490e+04,3.471e+04,7.728e+04
69.9,1.979e+04,1.393e+04,2.656e+04,6.028e+04
71.5,1.487e+04,1.055e+04,1.898e+04,4.439e+04
73.0,1.130e+04,6.639e+03,1.488e+04,3.282e+04
74.6,8.733e+03,3.884e+03,1.420e+04,2.682e+04
76.2,7.997e+03,2.748e+03,1.841e+04,2.915e+04
77.7,8.302e+03,2.939e+03,2.369e+04,3.494e+04
79.3,8.960e+03,4.593e+03,2.820e+04,4.175e+04
80.8,9.876e+03,7.790e+03,3.533e+04,5.300e+04
82.4,9.412e+03,1.171e+04,3.940e+04,6.053e+04
83.9,7.855e+03,1.573e+04,4.362e+04,6.721e+04
85.5,7.912e+03,1.990e+04,4.639e+04,7.420e+04
87.0,8.309e+03,2.256e+04,4.549e+04,7.636e+04
88.6,7.687e+03,2.663e+04,4.595e+04,8.026e+04
90.1,7.876e+03,3.418e+04,4.913e+04,9.118e+04
91.7,7.571e+03,4.901e+04,5.592e+04,1.125e+05
93.3,6.776e+03,7.096e+04,6.561e+04,1.434e+05
94.8,7.825e+03,9.631e+04,7.300e+04,1.771e+05
96.4,1.233e+04,1.081e+05,7.292e+04,1.933e+05
97.9,1.664e+04,1.047e+05,6.205e+04,1.834e+05
99.5,2.065e+04,1.005e+05,5.278e+04,1.739e+05
101.0,2.303e+04,9.818e+04,4.525e+04,1.665e+05
102.6,2.467e+04,9.852e+04,3.810e+04,1.613e+05
104.1,2.503e+04,9.110e+04,2.985e+04,1.460e+05
105.7,2.461e+04,7.787e+04,2.171e+04,1.242e+05
107.2,2.497e+04,6.974e+04,1.703e+04,1.117e+05
108.8,2.548e+04,6.045e+04,1.382e+04,9.975e+04
110.4,2.792e+04,5.464e+04,1.181e+04,9.437e+04
111.9,3.077e+04,5.714e+04,1.157e+04,9.948e+04
113.5,3.283e+04,7.213e+04,1.242e+04,1.174e+05
115.0,3.415e+04,9.414e+04,1.185e+04,1.401e+05
116.6,3.581e+04,1.048e+05,9.399e+03,1.500e+05
118.1,3.586e+04,1.025e+05,7.132e+03,1.455e+05
119.7,3.749e+04,9.885e+04,6.104e+03,1.424e+05
121.2,3.948e+04,8.381e+04,6.706e+03,1.300e+05
122.8,4.408e+04,6.834e+04,8.860e+03,1.213e+05
124.3,5.126e+04,4.376e+04,1.582e+04,1.108e+05
125.9,5.747e+04,2.918e+04,2.378e+04,1.104e+05
127.4,5.889e+04,2.644e+04,3.045e+04,1.158e+05
129.0,6.092e+04,2.992e+04,3.448e+04,1.253e+05
130.6,6.262e+04,3.478e+04,3.679e+04,1.342e+05
132.1,6.139e+04,3.249e+04,3.238e+04,1.263e+05
133.7,5.337e+04,1.591e+04,2.179e+04,9.107e+04
135.2,4.412e+04,8.529e+03,1.779e+04,7.045e+04
136.8,3.795e+04,6.484e+03,1.663e+04,6.107e+04
138.3,3.367e+04,5.396e+03,1.653e+04,5.559e+04
139.9,3.052e+04,4.243e+03,1.536e+04,5.012e+04
141.4,2.905e+04,3.642e+03,1.401e+04,4.670e+04
143.0,2.742e+04,3.220e+03,1.424e+04,4.487e+04
144.5,2.398e+04,2.815e+03,1.361e+04,4.041e+04
146.1,1.928e+04,2.628e+03,1.154e+04,3.345e+04
147.7,1.591e+04,2.787e+03,9.111e+03,2.780e+04
149.2,1.836e+04,3.704e+03,8.681e+03,3.075e+04
150.8,2.378e+04,4.381e+03,9.774e+03,3.794e+04
152.3,2.696e+04,4.934e+03,1.090e+04,4.279e+04
153.9,4.160e+04,6.444e+03,1.624e+04,6.428e+04
155.4,5.260e+04,7.823e+03,2.005e+04,8.048e+04
157.0,5.563e+04,7.108e+03,2.140e+04,8.414e+04
158.5,5.516e+04,5.423e+03,2.144e+04,8.203e+04
160.1,5.562e+04,4.012e+03,2.255e+04,8.218e+04
161.6,5.690e+04,3.458e+03,2.316e+04,8.352e+04
163.2,5.460e+04,2.705e+03,2.271e+04,8.001e+04
164.8,4.896e+04,2.233e+03,2.151e+04,7.270e+04
166.3,4.360e+04,2.709e+03,2.021e+04,6.652e+04
167.9,3.816e+04,3.484e+03,1.968e+04,6.133e+04
169.4,3.283e+04,4.488e+03,1.826e+04,5.558e+04
171.0,2.757e+04,5.402e+03,1.656e+04,4.953e+04
172.5,2.368e+04,5.757e+03,1.649e+04,4.592e+04
174.1,2.215e+04,6.293e+03,1.738e+04,4.583e+04
175.6,2.019e+04,6.682e+03,1.641e+04,4.328e+04
177.2,2.041e+04,7.059e+03,1.641e+04,4.387e+04
178.7,1.942e+04,7.963e+03,1.557e+04,4.295e+04
180.3,1.949e+04,8.354e+03,1.497e+04,4.282e+04
181.8,2.177e+04,9.332e+03,1.638e+04,4.748e+04
183.4,2.516e+04,1.006e+04,1.834e+04,5.357e+04
185.0,2.551e+04,9.404e+03,2.015e+04,5.505e+04
186.5,2.671e+04,9.608e+03,2.312e+04,5.944e+04
188.1,2.820e+04,8.983e+03,2.583e+04,6.300e+04
189.6,2.861e+04,7.837e+03,2.712e+04,6.357e+04
191.2,2.709e+04,6.475e+03,2.681e+04,6.038e+04
192.7,2.525e+04,5.523e+03,2.715e+04,5.792e+04
194.3,2.367e+04,5.472e+03,2.899e+04,5.812e+04
195.8,2.039e+04,6.075e+03,2.861e+04,5.508e+04
197.4,1.595e+04,6.708e+03,2.586e+04,4.852e+04
198.9,1.311e+04,8.206e+03,2.345e+04,4.477e+04
