freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.214e+02,1.368e+02,1.379e+03,1.637e+03
1.6,4.743e+02,5.348e+02,1.720e+03,2.730e+03
3.1,5.806e+02,7.068e+02,1.633e+03,2.920e+03
4.7,5.973e+02,6.995e+02,1.944e+03,3.241e+03
6.2,6.334e+02,7.143e+02,3.715e+03,5.063e+03
7.8,7.407e+02,8.087e+02,5.206e+03,6.755e+03
9.3,1.001e+03,1.054e+03,6.653e+03,8.708e+03
10.9,1.554e+03,1.709e+03,9.081e+03,1.234e+04
12.4,2.681e+03,2.520e+03,1.383e+04,1.903e+04
14.0,2.628e+03,2.665e+03,1.695e+04,2.224e+04
15.5,2.352e+03,2.959e+03,2.018e+04,2.549e+04
17.1,1.861e+03,2.276e+03,2.271e+04,2.684e+04
18.6,1.274e+03,1.476e+03,2.806e+04,3.081e+04
20.2,1.025e+03,1.142e+03,3.603e+04,3.820e+04
21.7,9.206e+02,1.042e+03,4.459e+04,4.655e+04
23.3,8.955e+02,1.042e+03,5.532e+04,5.726e+04
24.8,8.688e+02,1.001e+03,6.549e+04,6.736e+04
26.4,1.036e+03,9.362e+02,7.944e+04,8.142e+04
27.9,1.353e+03,9.514e+02,9.643e+04,9.873e+04
29.5,1.338e+03,1.146e+03,1.139e+05,1.164e+05
31.0,1.255e+03,1.354e+03,1.354e+05,1.380e+05
32.6,1.260e+03,1.673e+03,1.849e+05,1.879e+05
34.1,1.272e+03,2.458e+03,2.854e+05,2.892e+05
35.7,2.196e+03,4.430e+03,4.757e+05,4.824e+05
37.2,5.976e+03,1.104e+04,9.530e+05,9.700e+05
38.8,1.275e+04,2.992e+04,1.890e+06,1.932e+06
40.3,2.922e+04,6.493e+04,3.447e+06,3.541e+06
41.9,4.813e+04,9.517e+04,4.457e+06,4.600e+06
43.4,4.602e+04,8.516e+04,3.350e+06,3.481e+06
45.0,3.008e+04,6.017e+04,1.923e+06,2.013e+06
46.5,1.719e+04,4.355e+04,1.139e+06,1.199e+06
48.1,1.211e+04,2.987e+04,6.885e+05,7.305e+05
49.6,1.160e+04,2.236e+04,4.690e+05,5.030e+05
51.2,1.301e+04,1.815e+04,3.329e+05,3.640e+05
52.7,1.217e+04,1.990e+04,2.770e+05,3.091e+05
54.3,3.770e+04,2.334e+04,2.381e+05,2.992e+05
55.8,1.063e+05,1.930e+04,1.455e+05,2.711e+05
57.4,1.240e+05,1.607e+04,8.638e+04,2.264e+05
58.9,1.288e+05,9.949e+03,6.817e+04,2.069e+05
60.5,1.400e+05,6.794e+03,6.797e+04,2.147e+05
62.0,1.347e+05,6.082e+03,6.599e+04,2.067e+05
63.6,9.203e+04,7.795e+03,6.393e+04,1.638e+05
65.1,4.720e+04,1.042e+04,5.987e+04,1.175e+05
66.7,2.475e+04,1.161e+04,5.175e+04,8.811e+04
68.2,1.828e+04,1.138e+04,4.208e+04,7.174e+04
69.8,1.941e+04,9.637e+03,3.342e+04,6.246e+04
71.3,2.155e+04,6.877e+03,2.463e+04,5.306e+04
72.9,2.162e+04,4.886e+03,2.138e+04,4.788e+04
74.4,2.246e+04,6.591e+03,2.834e+04,5.739e+04
76.0,2.389e+04,1.118e+04,3.794e+04,7.301e+04
77.5,2.585e+04,2.025e+04,5.203e+04,9.813e+04
79.1,2.592e+04,2.961e+04,6.396e+04,1.195e+05
80.6,2.464e+04,3.395e+04,6.960e+04,1.282e+05
82.2,2.316e+04,4.018e+04,7.717e+04,1.405e+05
83.7,2.040e+04,4.624e+04,7.651e+04,1.431e+05
85.3,1.214e+04,2.746e+04,4.679e+04,8.639e+04
86.8,9.124e+03,1.417e+04,2.574e+04,4.903e+04
88.4,1.279e+04,1.384e+04,1.740e+04,4.404e+04
89.9,1.581e+04,1.431e+04,1.180e+04,4.192e+04
91.5,1.701e+04,1.549e+04,9.571e+03,4.207e+04
93.0,1.781e+04,1.638e+04,8.067e+03,4.226e+04
94.6,1.830e+04,1.569e+04,6.748e+03,4.074e+04
96.1,1.862e+04,1.730e+04,6.141e+03,4.205e+04
97.7,1.860e+04,2.065e+04,5.536e+03,4.478e+04
99.2,1.968e+04,2.083e+04,3.997e+03,4.450e+04
100.8,2.321e+04,2.015e+04,2.970e+03,4.633e+04
102.3,2.869e+04,1.965e+04,2.423e+03,5.076e+04
103.9,3.566e+04,2.066e+04,2.140e+03,5.846e+04
105.4,3.911e+04,2.091e+04,2.598e+03,6.262e+04
107.0,3.558e+04,2.193e+04,2.982e+03,6.049e+04
108.5,2.854e+04,2.348e+04,3.247e+03,5.527e+04
110.1,3.869e+04,2.810e+04,3.078e+03,6.987e+04
111.6,3.601e+04,2.495e+04,3.128e+03,6.409e+04
113.2,2.218e+04,2.128e+04,3.407e+03,4.687e+04
114.7,2.220e+04,2.358e+04,3.330e+03,4.912e+04
116.3,2.886e+04,2.746e+04,4.774e+03,6.110e+04
117.8,3.829e+04,3.388e+04,7.885e+03,8.005e+04
119.4,4.771e+04,3.989e+04,1.072e+04,9.832e+04
120.9,5.962e+04,3.980e+04,1.531e+04,1.147e+05
122.5,7.146e+04,3.365e+04,2.201e+04,1.271e+05
124.0,8.008e+04,3.024e+04,2.969e+04,1.400e+05
125.6,8.297e+04,2.653e+04,3.485e+04,1.443e+05
127.1,7.310e+04,1.808e+04,3.649e+04,1.277e+05
128.7,6.004e+04,1.134e+04,3.397e+04,1.054e+05
130.2,4.904e+04,8.669e+03,2.839e+04,8.610e+04
131.8,4.588e+04,8.211e+03,2.732e+04,8.140e+04
133.3,4.101e+04,7.466e+03,2.545e+04,7.393e+04
134.9,3.041e+04,6.509e+03,1.840e+04,5.531e+04
136.4,2.105e+04,5.870e+03,1.439e+04,4.131e+04
138.0,1.621e+04,5.480e+03,1.138e+04,3.307e+04
139.5,1.402e+04,5.646e+03,8.320e+03,2.798e+04
141.1,1.261e+04,5.788e+03,7.037e+03,2.543e+04
142.6,1.476e+04,5.040e+03,6.027e+03,2.582e+04
144.2,1.730e+04,4.252e+03,5.724e+03,2.728e+04
145.7,1.889e+04,3.506e+03,5.605e+03,2.800e+04
147.3,1.982e+04,3.312e+03,6.710e+03,2.985e+04
148.8,2.757e+04,3.242e+03,1.041e+04,4.123e+04
150.4,3.396e+04,2.915e+03,1.368e+04,5.056e+04
151.9,3.851e+04,2.776e+03,1.781e+04,5.910e+04
153.5,4.197e+04,2.810e+03,2.251e+04,6.729e+04
155.0,4.321e+04,3.222e+03,2.340e+04,6.983e+04
156.6,4.211e+04,3.954e+03,2.135e+04,6.741e+04
158.1,3.736e+04,4.537e+03,1.892e+04,6.082e+04
