freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.676e+02,1.287e+02,2.227e+02,1.119e+03
1.6,7.606e+02,5.496e+02,7.833e+02,2.093e+03
3.1,4.986e+02,6.015e+02,8.213e+02,1.921e+03
4.7,8.503e+02,6.037e+02,8.002e+02,2.254e+03
6.2,1.797e+03,6.420e+02,9.484e+02,3.387e+03
7.8,2.682e+03,7.067e+02,1.025e+03,4.413e+03
9.4,3.468e+03,7.506e+02,1.088e+03,5.307e+03
10.9,4.446e+03,7.288e+02,1.062e+03,6.237e+03
12.5,5.371e+03,7.126e+02,1.064e+03,7.148e+03
14.1,6.684e+03,7.417e+02,1.084e+03,8.510e+03
15.6,8.229e+03,7.700e+02,1.144e+03,1.014e+04
17.2,9.733e+03,7.384e+02,1.157e+03,1.163e+04
18.7,1.166e+04,6.867e+02,9.443e+02,1.329e+04
20.3,1.411e+04,5.933e+02,7.720e+02,1.548e+04
21.9,1.673e+04,5.544e+02,7.003e+02,1.799e+04
23.4,1.984e+04,5.827e+02,7.865e+02,2.121e+04
25.0,2.333e+04,5.916e+02,7.738e+02,2.469e+04
26.5,2.648e+04,5.659e+02,7.548e+02,2.780e+04
28.1,3.043e+04,5.551e+02,8.337e+02,3.182e+04
29.7,3.443e+04,6.033e+02,8.374e+02,3.587e+04
31.2,3.945e+04,5.388e+02,8.257e+02,4.081e+04
32.8,4.574e+04,4.992e+02,8.284e+02,4.707e+04
34.4,5.334e+04,5.033e+02,7.752e+02,5.462e+04
35.9,6.226e+04,5.890e+02,8.912e+02,6.374e+04
37.5,7.320e+04,6.651e+02,1.076e+03,7.494e+04
39.0,8.360e+04,6.591e+02,1.220e+03,8.548e+04
40.6,9.908e+04,7.283e+02,1.426e+03,1.012e+05
42.2,1.220e+05,8.455e+02,1.728e+03,1.246e+05
43.7,1.286e+05,1.101e+03,1.778e+03,1.315e+05
45.3,1.421e+05,1.406e+03,1.587e+03,1.451e+05
46.8,1.807e+05,1.580e+03,1.675e+03,1.839e+05
48.4,2.218e+05,1.832e+03,2.055e+03,2.257e+05
50.0,2.611e+05,2.136e+03,2.307e+03,2.655e+05
51.5,3.158e+05,2.498e+03,2.603e+03,3.209e+05
53.1,4.011e+05,3.053e+03,3.075e+03,4.072e+05
54.6,5.194e+05,3.549e+03,3.263e+03,5.262e+05
56.2,6.683e+05,3.757e+03,4.357e+03,6.764e+05
57.8,8.089e+05,5.012e+03,7.613e+03,8.215e+05
59.3,1.063e+06,6.540e+03,1.552e+04,1.085e+06
60.9,1.437e+06,7.357e+03,3.358e+04,1.478e+06
62.5,1.923e+06,9.689e+03,6.082e+04,1.994e+06
64.0,2.686e+06,1.460e+04,8.100e+04,2.782e+06
65.6,3.812e+06,2.237e+04,9.628e+04,3.931e+06
67.1,4.507e+06,2.804e+04,1.090e+05,4.644e+06
68.7,4.186e+06,2.977e+04,1.123e+05,4.328e+06
70.3,3.395e+06,2.863e+04,1.089e+05,3.533e+06
71.8,2.728e+06,2.854e+04,1.164e+05,2.873e+06
73.4,2.159e+06,2.892e+04,1.244e+05,2.312e+06
74.9,1.629e+06,3.042e+04,1.198e+05,1.779e+06
76.5,1.146e+06,2.959e+04,9.907e+04,1.275e+06
78.1,7.729e+05,2.787e+04,7.702e+04,8.778e+05
79.6,5.464e+05,2.737e+04,5.884e+04,6.326e+05
81.2,3.956e+05,2.800e+04,4.723e+04,4.708e+05
82.8,2.858e+05,2.902e+04,3.968e+04,3.545e+05
84.3,2.230e+05,2.986e+04,3.509e+04,2.879e+05
85.9,1.867e+05,2.860e+04,3.075e+04,2.460e+05
87.4,1.572e+05,2.639e+04,2.344e+04,2.070e+05
89.0,1.331e+05,2.406e+04,1.688e+04,1.740e+05
90.6,1.093e+05,2.282e+04,1.565e+04,1.478e+05
92.1,9.132e+04,2.207e+04,1.597e+04,1.294e+05
93.7,7.954e+04,2.318e+04,1.542e+04,1.181e+05
95.2,7.271e+04,2.471e+04,1.517e+04,1.126e+05
96.8,6.741e+04,2.616e+04,1.547e+04,1.090e+05
98.4,6.296e+04,2.959e+04,1.748e+04,1.100e+05
99.9,5.850e+04,3.709e+04,2.098e+04,1.166e+05
101.5,5.273e+04,4.378e+04,2.295e+04,1.195e+05
103.1,4.566e+04,4.766e+04,2.535e+04,1.187e+05
104.6,3.663e+04,5.181e+04,2.695e+04,1.154e+05
106.2,2.932e+04,5.425e+04,2.702e+04,1.106e+05
107.7,2.497e+04,5.753e+04,2.754e+04,1.100e+05
109.3,2.154e+04,5.980e+04,2.915e+04,1.105e+05
110.9,2.039e+04,6.287e+04,3.049e+04,1.137e+05
112.4,1.954e+04,6.688e+04,3.213e+04,1.185e+05
114.0,1.944e+04,7.463e+04,3.525e+04,1.293e+05
115.5,2.138e+04,7.837e+04,3.694e+04,1.367e+05
117.1,2.244e+04,7.411e+04,3.684e+04,1.334e+05
118.7,2.212e+04,7.483e+04,3.785e+04,1.348e+05
120.2,2.106e+04,8.475e+04,4.273e+04,1.485e+05
121.8,2.003e+04,9.136e+04,4.532e+04,1.567e+05
123.4,1.765e+04,8.572e+04,4.238e+04,1.458e+05
124.9,1.484e+04,9.159e+04,4.781e+04,1.542e+05
126.5,1.555e+04,1.141e+05,6.322e+04,1.928e+05
128.0,2.048e+04,1.435e+05,8.143e+04,2.455e+05
129.6,2.915e+04,1.739e+05,1.006e+05,3.037e+05
131.2,3.304e+04,1.919e+05,1.136e+05,3.385e+05
132.7,2.268e+04,1.255e+05,7.561e+04,2.238e+05
134.3,7.874e+03,2.456e+04,1.497e+04,4.740e+04
135.8,5.964e+03,1.061e+04,6.826e+03,2.340e+04
137.4,5.756e+03,9.399e+03,6.677e+03,2.183e+04
139.0,5.556e+03,8.185e+03,6.280e+03,2.002e+04
140.5,5.127e+03,8.350e+03,6.233e+03,1.971e+04
142.1,4.925e+03,8.538e+03,6.793e+03,2.026e+04
143.6,4.922e+03,9.422e+03,7.176e+03,2.152e+04
145.2,4.918e+03,1.101e+04,8.075e+03,2.400e+04
146.8,5.207e+03,1.203e+04,8.290e+03,2.552e+04
148.3,5.837e+03,1.445e+04,9.913e+03,3.020e+04
149.9,7.257e+03,2.003e+04,1.345e+04,4.074e+04
151.5,8.135e+03,2.345e+04,1.571e+04,4.729e+04
153.0,8.482e+03,2.493e+04,1.694e+04,5.035e+04
154.6,8.835e+03,2.601e+04,1.785e+04,5.270e+04
156.1,9.256e+03,2.726e+04,1.847e+04,5.499e+04
157.7,9.849e+03,2.844e+04,1.928e+04,5.757e+04
159.3,1.042e+04,2.942e+04,2.003e+04,5.987e+04
160.8,1.096e+04,3.202e+04,2.039e+04,6.337e+04
162.4,1.195e+04,3.769e+04,2.278e+04,7.242e+04
163.9,1.228e+04,4.517e+04,2.505e+04,8.250e+04
165.5,1.165e+04,5.015e+04,2.651e+04,8.831e+04
167.1,1.133e+04,5.438e+04,2.863e+04,9.435e+04
168.6,1.154e+04,5.834e+04,2.964e+04,9.952e+04
170.2,1.236e+04,6.731e+04,3.152e+04,1.112e+05
171.8,1.329e+04,8.442e+04,3.672e+04,1.344e+05
173.3,1.362e+04,9.848e+04,4.053e+04,1.526e+05
174.9,1.220e+04,8.894e+04,3.517e+04,1.363e+05
176.4,1.025e+04,8.163e+04,3.279e+04,1.247e+05
178.0,1.037e+04,8.476e+04,3.298e+04,1.281e+05
179.6,1.045e+04,8.311e+04,3.365e+04,1.272e+05
181.1,9.547e+03,8.493e+04,3.448e+04,1.290e+05
182.7,8.239e+03,8.941e+04,3.707e+04,1.347e+05
184.2,7.388e+03,9.692e+04,3.968e+04,1.440e+05
185.8,6.200e+03,9.491e+04,3.875e+04,1.399e+05
187.4,5.354e+03,9.100e+04,3.555e+04,1.319e+05
188.9,5.091e+03,9.893e+04,3.714e+04,1.412e+05
190.5,4.778e+03,1.104e+05,3.944e+04,1.546e+05
192.1,4.466e+03,1.218e+05,4.149e+04,1.677e+05
193.6,4.591e+03,1.338e+05,4.244e+04,1.809e+05
195.2,5.315e+03,1.450e+05,4.458e+04,1.949e+05
196.7,6.507e+03,1.488e+05,4.286e+04,1.982e+05
198.3,8.848e+03,1.476e+05,4.046e+04,1.969e+05
199.9,1.238e+04,1.531e+05,4.148e+04,2.070e+05
