freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.586e+02,2.042e+02,3.731e+02,1.236e+03
1.6,9.052e+02,6.157e+02,1.256e+03,2.776e+03
3.1,7.119e+02,7.017e+02,1.173e+03,2.587e+03
4.7,1.098e+03,7.220e+02,1.171e+03,2.992e+03
6.2,2.116e+03,7.082e+02,1.205e+03,4.029e+03
7.8,2.979e+03,7.174e+02,1.312e+03,5.008e+03
9.3,3.452e+03,7.269e+02,1.392e+03,5.570e+03
10.9,4.553e+03,8.109e+02,1.406e+03,6.770e+03
12.4,6.124e+03,8.525e+02,1.638e+03,8.614e+03
14.0,7.721e+03,1.102e+03,1.921e+03,1.074e+04
15.5,9.279e+03,1.849e+03,3.067e+03,1.419e+04
17.1,1.153e+04,2.593e+03,4.798e+03,1.892e+04
18.7,1.361e+04,2.586e+03,5.679e+03,2.188e+04
20.2,1.653e+04,2.654e+03,5.202e+03,2.438e+04
21.8,1.843e+04,2.403e+03,4.038e+03,2.487e+04
23.3,2.130e+04,2.004e+03,3.643e+03,2.695e+04
24.9,2.396e+04,1.633e+03,2.914e+03,2.851e+04
26.4,2.806e+04,1.301e+03,2.383e+03,3.174e+04
28.0,3.297e+04,1.217e+03,1.980e+03,3.617e+04
29.5,3.790e+04,1.092e+03,1.897e+03,4.089e+04
31.1,4.418e+04,9.162e+02,1.991e+03,4.709e+04
32.6,5.354e+04,9.545e+02,1.987e+03,5.648e+04
34.2,6.451e+04,1.024e+03,1.885e+03,6.742e+04
35.7,7.455e+04,1.104e+03,1.973e+03,7.763e+04
37.3,8.773e+04,1.172e+03,2.551e+03,9.145e+04
38.9,1.034e+05,1.332e+03,3.658e+03,1.084e+05
40.4,1.195e+05,1.432e+03,5.018e+03,1.260e+05
42.0,1.457e+05,1.839e+03,6.829e+03,1.544e+05
43.5,1.774e+05,2.410e+03,9.091e+03,1.889e+05
45.1,2.120e+05,3.234e+03,1.525e+04,2.305e+05
46.6,2.492e+05,6.139e+03,3.259e+04,2.879e+05
48.2,2.971e+05,9.580e+03,4.887e+04,3.555e+05
49.7,4.009e+05,1.016e+04,4.315e+04,4.542e+05
51.3,5.912e+05,1.140e+04,3.815e+04,6.408e+05
52.8,9.283e+05,1.909e+04,7.538e+04,1.023e+06
54.4,1.421e+06,3.641e+04,1.683e+05,1.625e+06
56.0,1.779e+06,5.609e+04,2.618e+05,2.097e+06
57.5,1.697e+06,7.027e+04,2.861e+05,2.053e+06
59.1,1.325e+06,7.138e+04,2.582e+05,1.655e+06
60.6,1.006e+06,6.494e+04,2.231e+05,1.294e+06
62.2,6.954e+05,5.361e+04,1.745e+05,9.235e+05
63.7,4.527e+05,4.515e+04,1.325e+05,6.304e+05
65.3,2.930e+05,4.015e+04,1.048e+05,4.379e+05
66.8,1.803e+05,3.384e+04,8.219e+04,2.964e+05
68.4,1.042e+05,2.644e+04,6.482e+04,1.955e+05
69.9,6.527e+04,2.392e+04,5.561e+04,1.448e+05
71.5,4.021e+04,2.258e+04,5.096e+04,1.138e+05
73.1,2.390e+04,2.196e+04,4.959e+04,9.545e+04
74.6,1.480e+04,2.469e+04,4.997e+04,8.946e+04
76.2,9.371e+03,2.950e+04,5.371e+04,9.258e+04
77.7,6.796e+03,3.416e+04,5.790e+04,9.886e+04
79.3,6.362e+03,3.784e+04,6.181e+04,1.060e+05
80.8,7.437e+03,3.945e+04,6.373e+04,1.106e+05
82.4,9.804e+03,3.968e+04,6.421e+04,1.137e+05
83.9,1.424e+04,4.075e+04,6.525e+04,1.202e+05
85.5,2.272e+04,4.527e+04,6.631e+04,1.343e+05
87.0,3.231e+04,4.210e+04,6.825e+04,1.427e+05
88.6,3.377e+04,3.341e+04,8.012e+04,1.473e+05
90.2,3.435e+04,3.454e+04,9.323e+04,1.621e+05
91.7,4.080e+04,4.249e+04,1.102e+05,1.935e+05
93.3,5.453e+04,5.652e+04,1.348e+05,2.458e+05
94.8,7.322e+04,8.042e+04,1.644e+05,3.181e+05
96.4,9.871e+04,1.076e+05,1.927e+05,3.990e+05
97.9,1.319e+05,1.229e+05,2.195e+05,4.742e+05
99.5,1.723e+05,1.365e+05,2.511e+05,5.599e+05
101.0,2.249e+05,1.423e+05,2.804e+05,6.476e+05
102.6,2.774e+05,1.305e+05,2.948e+05,7.026e+05
104.1,3.162e+05,1.090e+05,2.953e+05,7.205e+05
105.7,3.507e+05,9.454e+04,2.984e+05,7.436e+05
107.2,4.233e+05,9.985e+04,3.477e+05,8.708e+05
108.8,5.605e+05,1.102e+05,4.268e+05,1.097e+06
110.4,7.410e+05,1.106e+05,5.053e+05,1.357e+06
111.9,9.159e+05,1.031e+05,5.586e+05,1.578e+06
113.5,1.093e+06,9.645e+04,5.912e+05,1.781e+06
115.0,1.213e+06,1.027e+05,5.824e+05,1.898e+06
116.6,1.192e+06,1.195e+05,5.185e+05,1.830e+06
118.1,1.082e+06,1.495e+05,4.251e+05,1.656e+06
119.7,9.488e+05,1.972e+05,3.481e+05,1.494e+06
121.2,7.646e+05,2.317e+05,2.788e+05,1.275e+06
122.8,5.911e+05,2.509e+05,2.258e+05,1.068e+06
124.3,4.927e+05,2.772e+05,2.073e+05,9.773e+05
125.9,4.621e+05,3.287e+05,2.127e+05,1.003e+06
127.5,4.428e+05,3.943e+05,2.193e+05,1.056e+06
129.0,4.157e+05,4.669e+05,2.196e+05,1.102e+06
130.6,3.878e+05,5.523e+05,2.203e+05,1.160e+06
132.1,2.939e+05,5.156e+05,1.852e+05,9.947e+05
133.7,7.793e+04,1.622e+05,5.154e+04,2.916e+05
135.2,1.196e+04,4.621e+04,9.120e+03,6.730e+04
136.8,9.039e+03,4.716e+04,9.545e+03,6.574e+04
138.3,7.136e+03,4.711e+04,9.859e+03,6.411e+04
139.9,5.855e+03,4.599e+04,1.063e+04,6.248e+04
141.4,5.438e+03,4.635e+04,1.097e+04,6.276e+04
143.0,5.001e+03,4.685e+04,1.129e+04,6.314e+04
144.6,4.813e+03,4.750e+04,1.253e+04,6.484e+04
146.1,4.789e+03,5.299e+04,1.459e+04,7.237e+04
147.7,5.972e+03,6.106e+04,1.828e+04,8.531e+04
149.2,8.606e+03,7.185e+04,2.340e+04,1.039e+05
150.8,9.908e+03,7.978e+04,2.660e+04,1.163e+05
152.3,9.007e+03,8.606e+04,2.893e+04,1.240e+05
153.9,7.997e+03,9.584e+04,3.160e+04,1.354e+05
155.4,7.955e+03,1.068e+05,3.741e+04,1.521e+05
157.0,8.339e+03,1.242e+05,4.364e+04,1.762e+05
158.5,8.115e+03,1.417e+05,4.897e+04,1.987e+05
160.1,7.893e+03,1.537e+05,5.404e+04,2.156e+05
161.7,7.451e+03,1.663e+05,5.866e+04,2.324e+05
163.2,6.708e+03,1.794e+05,6.294e+04,2.490e+05
164.8,5.512e+03,1.875e+05,6.392e+04,2.569e+05
166.3,4.489e+03,1.956e+05,6.294e+04,2.631e+05
167.9,3.584e+03,1.914e+05,5.923e+04,2.542e+05
169.4,2.467e+03,1.782e+05,5.176e+04,2.324e+05
171.0,1.939e+03,1.510e+05,3.965e+04,1.926e+05
172.5,2.940e+03,1.219e+05,2.823e+04,1.531e+05
174.1,4.246e+03,9.771e+04,1.998e+04,1.219e+05
175.6,4.498e+03,8.084e+04,1.755e+04,1.029e+05
177.2,4.942e+03,7.079e+04,1.634e+04,9.207e+04
178.7,6.271e+03,6.626e+04,1.623e+04,8.877e+04
180.3,6.415e+03,6.239e+04,1.595e+04,8.475e+04
181.9,6.243e+03,5.859e+04,1.657e+04,8.140e+04
183.4,6.367e+03,5.530e+04,1.725e+04,7.891e+04
185.0,5.823e+03,5.271e+04,1.771e+04,7.624e+04
186.5,5.552e+03,4.880e+04,1.998e+04,7.434e+04
188.1,5.714e+03,4.437e+04,1.925e+04,6.934e+04
189.6,5.331e+03,3.937e+04,1.826e+04,6.296e+04
191.2,4.944e+03,3.502e+04,1.839e+04,5.835e+04
192.7,4.874e+03,3.131e+04,1.830e+04,5.448e+04
194.3,5.097e+03,2.927e+04,1.802e+04,5.238e+04
195.8,5.013e+03,2.942e+04,1.719e+04,5.162e+04
197.4,4.512e+03,2.810e+04,1.626e+04,4.887e+04
199.0,4.346e+03,2.725e+04,1.572e+04,4.731e+04
