freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.974e+02,1.241e+02,1.335e+02,9.550e+02
1.6,6.731e+02,5.224e+02,4.749e+02,1.670e+03
3.1,3.347e+02,6.047e+02,5.298e+02,1.469e+03
4.7,6.953e+02,5.522e+02,5.952e+02,1.843e+03
6.2,1.672e+03,6.204e+02,5.911e+02,2.883e+03
7.8,2.520e+03,6.613e+02,6.270e+02,3.808e+03
9.4,3.140e+03,6.131e+02,6.234e+02,4.377e+03
10.9,4.112e+03,5.807e+02,6.508e+02,5.343e+03
12.5,5.257e+03,5.437e+02,6.359e+02,6.436e+03
14.0,6.556e+03,5.458e+02,5.697e+02,7.672e+03
15.6,7.935e+03,6.105e+02,5.716e+02,9.117e+03
17.1,9.678e+03,6.405e+02,6.597e+02,1.098e+04
18.7,1.176e+04,6.262e+02,6.910e+02,1.308e+04
20.3,1.418e+04,6.210e+02,6.756e+02,1.547e+04
21.8,1.705e+04,6.179e+02,6.943e+02,1.836e+04
23.4,1.993e+04,6.353e+02,6.801e+02,2.125e+04
24.9,2.351e+04,6.911e+02,7.046e+02,2.491e+04
26.5,2.669e+04,6.587e+02,7.570e+02,2.811e+04
28.1,3.014e+04,6.879e+02,9.057e+02,3.174e+04
29.6,3.432e+04,8.106e+02,1.135e+03,3.627e+04
31.2,3.991e+04,9.995e+02,1.417e+03,4.232e+04
32.7,4.571e+04,1.131e+03,1.766e+03,4.861e+04
34.3,5.412e+04,1.478e+03,2.560e+03,5.816e+04
35.8,6.123e+04,2.573e+03,4.231e+03,6.804e+04
37.4,6.569e+04,3.478e+03,5.542e+03,7.471e+04
39.0,6.985e+04,3.765e+03,5.632e+03,7.925e+04
40.5,8.138e+04,3.269e+03,5.355e+03,9.000e+04
42.1,1.031e+05,3.410e+03,6.577e+03,1.131e+05
43.6,1.181e+05,3.220e+03,5.972e+03,1.273e+05
45.2,1.422e+05,2.998e+03,4.911e+03,1.501e+05
46.8,1.792e+05,2.527e+03,4.301e+03,1.860e+05
48.3,2.183e+05,2.109e+03,3.145e+03,2.236e+05
49.9,2.575e+05,2.045e+03,2.477e+03,2.620e+05
51.4,3.175e+05,2.321e+03,2.089e+03,3.219e+05
53.0,4.078e+05,2.615e+03,2.508e+03,4.129e+05
54.6,5.082e+05,3.015e+03,3.600e+03,5.148e+05
56.1,6.192e+05,3.446e+03,4.849e+03,6.275e+05
57.7,7.788e+05,4.146e+03,5.233e+03,7.882e+05
59.2,1.048e+06,5.771e+03,6.513e+03,1.061e+06
60.8,1.444e+06,9.070e+03,1.233e+04,1.465e+06
62.3,2.043e+06,1.309e+04,2.231e+04,2.078e+06
63.9,2.988e+06,1.673e+04,4.393e+04,3.048e+06
65.5,3.785e+06,2.120e+04,7.253e+04,3.879e+06
67.0,3.834e+06,2.480e+04,9.408e+04,3.953e+06
68.6,3.354e+06,2.708e+04,1.126e+05,3.494e+06
70.1,2.741e+06,2.809e+04,1.158e+05,2.885e+06
71.7,2.067e+06,2.610e+04,9.443e+04,2.187e+06
73.3,1.484e+06,2.210e+04,7.190e+04,1.578e+06
74.8,1.078e+06,2.038e+04,8.430e+04,1.183e+06
76.4,7.817e+05,2.140e+04,9.493e+04,8.981e+05
77.9,5.622e+05,2.253e+04,8.280e+04,6.675e+05
79.5,4.099e+05,2.469e+04,6.651e+04,5.011e+05
81.1,3.025e+05,2.655e+04,5.722e+04,3.863e+05
82.6,2.308e+05,2.893e+04,4.746e+04,3.072e+05
84.2,1.687e+05,2.862e+04,3.677e+04,2.341e+05
85.7,1.132e+05,2.475e+04,2.667e+04,1.646e+05
87.3,8.876e+04,2.277e+04,2.215e+04,1.337e+05
88.8,7.472e+04,2.117e+04,2.009e+04,1.160e+05
90.4,6.376e+04,2.073e+04,1.864e+04,1.031e+05
92.0,5.525e+04,2.058e+04,1.846e+04,9.429e+04
93.5,4.704e+04,2.036e+04,1.777e+04,8.517e+04
95.1,4.076e+04,2.089e+04,1.685e+04,7.850e+04
96.6,3.736e+04,2.319e+04,1.802e+04,7.857e+04
98.2,3.524e+04,2.843e+04,2.109e+04,8.477e+04
99.8,3.487e+04,3.247e+04,2.530e+04,9.264e+04
101.3,3.286e+04,3.641e+04,2.808e+04,9.735e+04
102.9,3.006e+04,4.191e+04,2.990e+04,1.019e+05
104.4,2.435e+04,4.198e+04,2.896e+04,9.528e+04
106.0,1.828e+04,4.065e+04,2.776e+04,8.668e+04
107.5,1.558e+04,4.371e+04,3.004e+04,8.934e+04
109.1,1.356e+04,4.726e+04,3.090e+04,9.172e+04
110.7,1.155e+04,5.291e+04,3.306e+04,9.752e+04
112.2,1.011e+04,5.949e+04,3.697e+04,1.066e+05
113.8,9.931e+03,6.866e+04,4.193e+04,1.205e+05
115.3,1.140e+04,7.948e+04,4.654e+04,1.374e+05
116.9,1.220e+04,8.793e+04,5.147e+04,1.516e+05
118.5,1.457e+04,9.950e+04,5.956e+04,1.736e+05
120.0,1.899e+04,1.068e+05,6.067e+04,1.865e+05
121.6,2.284e+04,1.022e+05,5.761e+04,1.827e+05
123.1,2.447e+04,9.282e+04,5.559e+04,1.729e+05
