freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.473e+01,1.093e+02,9.391e+02,1.123e+03
1.6,3.633e+02,5.015e+02,1.257e+03,2.122e+03
3.1,4.610e+02,5.679e+02,8.902e+02,1.919e+03
4.7,5.155e+02,6.581e+02,1.426e+03,2.599e+03
6.2,5.175e+02,6.291e+02,3.221e+03,4.368e+03
7.8,5.218e+02,7.604e+02,4.500e+03,5.783e+03
9.3,5.846e+02,7.911e+02,5.198e+03,6.573e+03
10.9,6.288e+02,7.827e+02,6.810e+03,8.222e+03
12.4,7.572e+02,9.926e+02,1.016e+04,1.191e+04
14.0,1.061e+03,1.287e+03,1.553e+04,1.788e+04
15.5,1.485e+03,2.069e+03,2.040e+04,2.395e+04
17.1,2.283e+03,3.146e+03,2.716e+04,3.259e+04
18.7,2.755e+03,3.564e+03,3.337e+04,3.969e+04
20.2,1.913e+03,2.518e+03,3.888e+04,4.331e+04
21.8,1.242e+03,1.530e+03,4.567e+04,4.844e+04
23.3,9.351e+02,1.147e+03,5.538e+04,5.746e+04
24.9,7.938e+02,9.445e+02,6.973e+04,7.147e+04
26.4,7.460e+02,9.273e+02,9.050e+04,9.217e+04
28.0,7.802e+02,1.014e+03,1.151e+05,1.169e+05
29.5,7.133e+02,1.312e+03,1.422e+05,1.443e+05
31.1,7.653e+02,1.950e+03,1.874e+05,1.901e+05
32.6,8.745e+02,3.013e+03,2.740e+05,2.779e+05
34.2,1.514e+03,4.588e+03,4.390e+05,4.451e+05
35.7,3.757e+03,8.505e+03,7.342e+05,7.465e+05
37.3,7.563e+03,2.296e+04,1.496e+06,1.527e+06
38.9,1.267e+04,4.955e+04,2.507e+06,2.569e+06
40.4,1.514e+04,6.277e+04,2.616e+06,2.694e+06
42.0,1.339e+04,5.783e+04,2.015e+06,2.086e+06
43.5,9.079e+03,4.540e+04,1.287e+06,1.342e+06
45.1,4.460e+03,3.501e+04,7.813e+05,8.208e+05
46.6,3.043e+03,3.054e+04,5.652e+05,5.988e+05
48.2,2.914e+03,2.794e+04,4.338e+05,4.647e+05
49.7,3.236e+03,2.509e+04,3.463e+05,3.747e+05
51.3,2.601e+03,2.295e+04,2.907e+05,3.162e+05
52.8,1.338e+03,2.046e+04,2.612e+05,2.830e+05
54.4,1.628e+03,1.696e+04,2.139e+05,2.325e+05
56.0,3.369e+03,1.386e+04,1.540e+05,1.712e+05
57.5,4.486e+03,1.078e+04,1.055e+05,1.207e+05
59.1,5.836e+03,8.833e+03,7.347e+04,8.814e+04
60.6,8.136e+03,7.042e+03,5.546e+04,7.064e+04
62.2,1.134e+04,4.914e+03,4.076e+04,5.701e+04
63.7,1.366e+04,3.955e+03,2.992e+04,4.754e+04
65.3,1.303e+04,5.043e+03,2.448e+04,4.256e+04
66.8,1.113e+04,5.014e+03,1.973e+04,3.587e+04
68.4,9.640e+03,4.126e+03,1.536e+04,2.913e+04
69.9,8.923e+03,4.166e+03,1.340e+04,2.649e+04
71.5,8.659e+03,5.135e+03,1.401e+04,2.780e+04
73.0,9.009e+03,8.688e+03,1.747e+04,3.516e+04
74.6,1.144e+04,1.688e+04,2.835e+04,5.667e+04
76.2,1.553e+04,2.813e+04,4.266e+04,8.631e+04
77.7,1.900e+04,3.749e+04,5.176e+04,1.082e+05
79.3,2.179e+04,4.506e+04,5.543e+04,1.223e+05
80.8,2.396e+04,5.365e+04,6.001e+04,1.376e+05
82.4,2.561e+04,6.053e+04,6.131e+04,1.475e+05
83.9,2.620e+04,5.159e+04,4.959e+04,1.274e+05
85.5,2.440e+04,2.258e+04,2.210e+04,6.908e+04
87.0,2.297e+04,1.286e+04,1.173e+04,4.756e+04
88.6,2.005e+04,1.024e+04,8.544e+03,3.884e+04
90.1,1.635e+04,1.054e+04,6.848e+03,3.374e+04
91.7,1.298e+04,1.138e+04,5.955e+03,3.031e+04
93.3,1.012e+04,1.132e+04,5.709e+03,2.715e+04
94.8,7.336e+03,1.078e+04,7.086e+03,2.520e+04
96.4,5.931e+03,1.243e+04,8.044e+03,2.641e+04
97.9,5.112e+03,1.794e+04,8.346e+03,3.140e+04
99.5,6.355e+03,2.692e+04,7.479e+03,4.076e+04
101.0,8.849e+03,3.268e+04,6.067e+03,4.760e+04
102.6,1.176e+04,3.213e+04,4.725e+03,4.862e+04
104.1,1.382e+04,2.730e+04,4.608e+03,4.573e+04
105.7,1.221e+04,2.098e+04,5.095e+03,3.829e+04
107.2,1.062e+04,1.796e+04,4.516e+03,3.309e+04
108.8,8.676e+03,1.568e+04,3.799e+03,2.815e+04
110.3,6.058e+03,1.246e+04,3.026e+03,2.154e+04
111.9,4.304e+03,1.023e+04,2.842e+03,1.738e+04
113.5,3.841e+03,7.496e+03,3.005e+03,1.434e+04
115.0,6.949e+03,6.242e+03,3.454e+03,1.665e+04
116.6,1.091e+04,5.443e+03,3.329e+03,1.968e+04
118.1,1.006e+04,3.964e+03,3.004e+03,1.703e+04
119.7,7.336e+03,3.412e+03,2.792e+03,1.354e+04
121.2,5.719e+03,3.117e+03,2.751e+03,1.159e+04
122.8,4.206e+03,2.907e+03,2.415e+03,9.529e+03
124.3,2.875e+03,2.157e+03,2.129e+03,7.162e+03
125.9,2.127e+03,1.978e+03,2.488e+03,6.592e+03
127.4,2.034e+03,2.194e+03,3.219e+03,7.447e+03
129.0,3.020e+03,2.646e+03,4.307e+03,9.973e+03
130.6,4.336e+03,3.303e+03,5.633e+03,1.327e+04
132.1,6.449e+03,3.872e+03,7.241e+03,1.756e+04
133.7,8.271e+03,4.531e+03,9.623e+03,2.243e+04
135.2,8.990e+03,4.887e+03,1.191e+04,2.578e+04
136.8,9.407e+03,5.123e+03,1.291e+04,2.744e+04
138.3,8.500e+03,4.709e+03,1.098e+04,2.419e+04
139.9,6.012e+03,3.758e+03,8.511e+03,1.828e+04
141.4,4.311e+03,2.840e+03,6.485e+03,1.364e+04
143.0,3.298e+03,2.575e+03,5.411e+03,1.128e+04
144.5,2.350e+03,2.406e+03,4.161e+03,8.917e+03
146.1,1.368e+03,2.120e+03,2.909e+03,6.397e+03
147.6,9.575e+02,1.945e+03,2.286e+03,5.189e+03
149.2,1.287e+03,1.505e+03,2.188e+03,4.980e+03
150.8,2.497e+03,1.528e+03,2.537e+03,6.562e+03
152.3,3.699e+03,1.606e+03,3.692e+03,8.997e+03
153.9,4.907e+03,1.700e+03,4.053e+03,1.066e+04
155.4,5.430e+03,2.186e+03,3.999e+03,1.161e+04
157.0,5.180e+03,2.691e+03,3.840e+03,1.171e+04
158.5,5.056e+03,2.509e+03,3.437e+03,1.100e+04
160.1,4.901e+03,2.252e+03,3.273e+03,1.043e+04
161.6,4.427e+03,2.755e+03,3.094e+03,1.028e+04
163.2,3.946e+03,2.582e+03,2.752e+03,9.281e+03
164.7,3.693e+03,2.622e+03,3.103e+03,9.419e+03
166.3,3.586e+03,2.571e+03,3.273e+03,9.430e+03
167.9,3.034e+03,2.206e+03,3.047e+03,8.287e+03
169.4,2.811e+03,1.935e+03,2.715e+03,7.461e+03
171.0,2.498e+03,1.998e+03,2.953e+03,7.450e+03
172.5,2.244e+03,2.303e+03,3.252e+03,7.798e+03
174.1,2.033e+03,2.325e+03,3.452e+03,7.810e+03
175.6,1.825e+03,2.106e+03,3.319e+03,7.249e+03
177.2,1.965e+03,2.571e+03,2.983e+03,7.520e+03
178.7,2.334e+03,3.039e+03,3.715e+03,9.087e+03
180.3,2.722e+03,3.357e+03,4.548e+03,1.063e+04
181.8,2.886e+03,3.637e+03,5.310e+03,1.183e+04
183.4,3.372e+03,4.342e+03,6.392e+03,1.411e+04
184.9,3.974e+03,4.815e+03,7.183e+03,1.597e+04
186.5,3.367e+03,3.812e+03,5.276e+03,1.245e+04
188.1,2.559e+03,2.879e+03,3.816e+03,9.253e+03
189.6,2.354e+03,2.478e+03,3.177e+03,8.009e+03
191.2,2.401e+03,2.564e+03,3.012e+03,7.978e+03
192.7,2.200e+03,3.187e+03,3.241e+03,8.628e+03
194.3,1.907e+03,3.642e+03,3.098e+03,8.647e+03
195.8,1.922e+03,3.664e+03,3.291e+03,8.877e+03
197.4,1.994e+03,3.379e+03,3.743e+03,9.117e+03
198.9,1.992e+03,3.900e+03,4.022e+03,9.915e+03
