freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.030e+02,8.565e+01,5.496e+02,7.382e+02
1.6,2.944e+02,3.463e+02,4.092e+02,1.050e+03
3.1,3.325e+02,4.488e+02,1.250e+02,9.062e+02
4.7,2.106e+02,4.552e+02,4.337e+02,1.099e+03
6.3,2.313e+02,4.464e+02,1.326e+03,2.004e+03
7.8,2.560e+02,4.556e+02,2.099e+03,2.810e+03
9.4,2.229e+02,4.635e+02,2.771e+03,3.457e+03
10.9,2.463e+02,5.134e+02,3.464e+03,4.224e+03
12.5,2.761e+02,5.029e+02,4.561e+03,5.340e+03
14.1,3.024e+02,4.823e+02,5.744e+03,6.529e+03
15.6,3.085e+02,4.599e+02,7.023e+03,7.791e+03
17.2,2.868e+02,4.360e+02,8.666e+03,9.389e+03
18.8,2.915e+02,4.521e+02,1.050e+04,1.124e+04
20.3,2.694e+02,4.772e+02,1.245e+04,1.320e+04
21.9,2.632e+02,4.928e+02,1.446e+04,1.521e+04
23.5,2.359e+02,5.102e+02,1.706e+04,1.780e+04
25.0,2.986e+02,5.096e+02,1.949e+04,2.030e+04
26.6,3.374e+02,5.174e+02,2.279e+04,2.364e+04
28.2,3.061e+02,5.730e+02,2.586e+04,2.674e+04
29.7,3.322e+02,5.822e+02,2.934e+04,3.025e+04
31.3,3.513e+02,5.798e+02,3.472e+04,3.565e+04
32.8,3.880e+02,5.767e+02,3.991e+04,4.087e+04
34.4,3.777e+02,5.877e+02,4.475e+04,4.572e+04
36.0,3.736e+02,7.224e+02,5.328e+04,5.438e+04
37.5,4.644e+02,8.892e+02,6.242e+04,6.378e+04
39.1,5.919e+02,9.738e+02,7.217e+04,7.373e+04
40.7,5.982e+02,1.014e+03,7.898e+04,8.059e+04
42.2,7.515e+02,1.101e+03,8.632e+04,8.817e+04
43.8,1.060e+03,1.351e+03,1.034e+05,1.058e+05
45.4,1.490e+03,1.784e+03,1.296e+05,1.328e+05
46.9,1.838e+03,2.308e+03,1.619e+05,1.661e+05
48.5,2.208e+03,2.963e+03,2.003e+05,2.054e+05
50.0,2.801e+03,3.911e+03,2.472e+05,2.539e+05
51.6,3.281e+03,4.673e+03,2.922e+05,3.002e+05
53.2,3.491e+03,5.053e+03,3.246e+05,3.331e+05
54.7,3.643e+03,5.841e+03,3.909e+05,4.004e+05
56.3,4.192e+03,8.018e+03,5.172e+05,5.294e+05
57.9,6.107e+03,1.141e+04,7.232e+05,7.407e+05
59.4,1.302e+04,1.619e+04,1.072e+06,1.101e+06
61.0,2.483e+04,2.399e+04,1.630e+06,1.679e+06
62.6,3.801e+04,3.365e+04,2.282e+06,2.354e+06
64.1,4.870e+04,3.988e+04,2.471e+06,2.559e+06
65.7,4.782e+04,3.725e+04,2.056e+06,2.141e+06
67.2,4.778e+04,3.952e+04,1.897e+06,1.984e+06
68.8,4.935e+04,4.172e+04,1.866e+06,1.957e+06
70.4,3.934e+04,3.327e+04,1.461e+06,1.534e+06
71.9,2.494e+04,2.314e+04,1.039e+06,1.087e+06
73.5,1.648e+04,1.765e+04,7.174e+05,7.516e+05
75.1,1.642e+04,1.850e+04,5.225e+05,5.574e+05
76.6,2.019e+04,2.172e+04,3.883e+05,4.302e+05
78.2,2.233e+04,2.169e+04,2.908e+05,3.348e+05
79.8,2.196e+04,1.909e+04,2.225e+05,2.635e+05
81.3,2.071e+04,1.623e+04,1.744e+05,2.113e+05
82.9,2.185e+04,1.619e+04,1.361e+05,1.741e+05
84.5,2.526e+04,1.759e+04,1.070e+05,1.498e+05
86.0,2.653e+04,1.592e+04,9.763e+04,1.401e+05
87.6,2.628e+04,1.409e+04,8.123e+04,1.216e+05
89.1,2.609e+04,1.306e+04,6.321e+04,1.024e+05
90.7,2.541e+04,1.211e+04,5.196e+04,8.948e+04
92.3,2.496e+04,1.148e+04,4.409e+04,8.054e+04
93.8,2.438e+04,1.077e+04,3.850e+04,7.365e+04
95.4,2.253e+04,9.971e+03,3.390e+04,6.640e+04
97.0,2.069e+04,9.871e+03,3.085e+04,6.141e+04
98.5,1.889e+04,1.077e+04,3.077e+04,6.044e+04
100.1,1.814e+04,1.331e+04,3.191e+04,6.336e+04
101.7,1.873e+04,1.681e+04,3.298e+04,6.852e+04
103.2,1.967e+04,2.066e+04,3.444e+04,7.476e+04
104.8,1.968e+04,2.318e+04,3.598e+04,7.883e+04
106.3,1.851e+04,2.203e+04,3.578e+04,7.631e+04
107.9,1.664e+04,2.094e+04,3.039e+04,6.797e+04
109.5,1.798e+04,2.497e+04,2.579e+04,6.873e+04
111.0,2.250e+04,3.063e+04,2.468e+04,7.781e+04
112.6,2.575e+04,3.366e+04,2.239e+04,8.181e+04
114.2,2.676e+04,3.430e+04,1.806e+04,7.912e+04
115.7,2.652e+04,3.346e+04,1.678e+04,7.677e+04
117.3,2.631e+04,3.152e+04,1.828e+04,7.611e+04
