freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.090e+01,4.779e+02,1.716e+02,6.805e+02
1.5,5.453e+01,4.754e+02,1.527e+02,6.827e+02
3.1,5.357e+01,2.483e+02,7.000e+01,3.719e+02
4.6,5.290e+01,6.041e+02,6.932e+01,7.263e+02
6.1,6.383e+01,1.736e+03,6.429e+01,1.864e+03
7.7,7.136e+01,2.207e+03,7.209e+01,2.350e+03
9.2,5.182e+01,2.948e+03,7.880e+01,3.079e+03
10.7,5.835e+01,4.306e+03,7.715e+01,4.441e+03
12.3,6.608e+01,5.829e+03,7.363e+01,5.969e+03
13.8,6.881e+01,7.895e+03,7.531e+01,8.039e+03
15.3,7.018e+01,1.058e+04,7.768e+01,1.073e+04
16.9,7.604e+01,1.330e+04,7.905e+01,1.345e+04
18.4,6.982e+01,1.620e+04,8.777e+01,1.635e+04
19.9,6.888e+01,1.955e+04,9.690e+01,1.972e+04
21.5,5.831e+01,2.401e+04,1.076e+02,2.417e+04
23.0,6.346e+01,3.102e+04,1.737e+02,3.126e+04
24.5,9.568e+01,3.858e+04,2.827e+02,3.896e+04
26.1,1.162e+02,4.363e+04,3.367e+02,4.408e+04
27.6,1.235e+02,5.048e+04,3.853e+02,5.099e+04
29.1,1.678e+02,5.926e+04,5.246e+02,5.996e+04
30.6,2.356e+02,7.408e+04,6.324e+02,7.495e+04
32.2,3.479e+02,9.774e+04,9.109e+02,9.900e+04
33.7,8.449e+02,1.292e+05,1.735e+03,1.318e+05
35.2,2.732e+03,1.891e+05,3.711e+03,1.955e+05
36.8,6.552e+03,3.043e+05,7.399e+03,3.182e+05
38.3,1.119e+04,4.946e+05,1.430e+04,5.201e+05
39.8,1.953e+04,7.476e+05,2.778e+04,7.949e+05
41.4,2.702e+04,8.796e+05,4.028e+04,9.469e+05
42.9,3.065e+04,1.044e+06,6.566e+04,1.140e+06
44.4,3.036e+04,1.146e+06,1.159e+05,1.293e+06
46.0,3.292e+04,1.005e+06,1.341e+05,1.172e+06
47.5,3.729e+04,8.000e+05,1.127e+05,9.500e+05
49.0,3.834e+04,6.476e+05,1.043e+05,7.902e+05
50.6,4.124e+04,5.383e+05,1.044e+05,6.839e+05
52.1,4.219e+04,4.119e+05,8.971e+04,5.438e+05
53.6,4.446e+04,3.045e+05,7.726e+04,4.263e+05
55.2,4.627e+04,2.550e+05,8.119e+04,3.825e+05
56.7,3.210e+04,2.264e+05,1.004e+05,3.589e+05
58.2,1.818e+04,2.129e+05,1.209e+05,3.520e+05
59.8,2.215e+04,2.096e+05,1.399e+05,3.716e+05
61.3,1.775e+04,2.026e+05,2.104e+05,4.308e+05
62.8,1.382e+04,1.765e+05,4.598e+05,6.501e+05
64.4,1.317e+04,1.228e+05,7.121e+05,8.481e+05
65.9,8.361e+03,1.061e+05,7.089e+05,8.233e+05
