freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.810e+01,8.715e+01,8.686e+02,1.044e+03
1.6,3.104e+02,3.662e+02,9.967e+02,1.673e+03
3.1,3.685e+02,4.447e+02,6.611e+02,1.474e+03
4.7,3.963e+02,4.604e+02,9.857e+02,1.842e+03
6.2,3.996e+02,4.822e+02,2.106e+03,2.988e+03
7.8,4.096e+02,4.495e+02,2.789e+03,3.648e+03
9.4,3.949e+02,4.565e+02,3.608e+03,4.460e+03
10.9,4.269e+02,4.922e+02,4.554e+03,5.473e+03
12.5,4.562e+02,5.288e+02,5.948e+03,6.933e+03
14.0,4.535e+02,4.899e+02,7.505e+03,8.449e+03
15.6,4.236e+02,4.719e+02,9.869e+03,1.077e+04
17.2,4.205e+02,5.322e+02,1.278e+04,1.373e+04
18.7,4.455e+02,5.987e+02,1.541e+04,1.645e+04
20.3,4.847e+02,6.942e+02,1.851e+04,1.969e+04
21.8,5.104e+02,6.787e+02,2.247e+04,2.366e+04
23.4,5.453e+02,7.091e+02,2.729e+04,2.855e+04
25.0,5.926e+02,7.894e+02,3.294e+04,3.432e+04
26.5,5.866e+02,7.570e+02,3.922e+04,4.056e+04
28.1,5.645e+02,6.171e+02,4.543e+04,4.661e+04
29.6,5.275e+02,5.684e+02,5.453e+04,5.563e+04
31.2,5.292e+02,5.482e+02,6.888e+04,6.996e+04
32.8,5.932e+02,5.803e+02,8.756e+04,8.873e+04
34.3,7.737e+02,6.110e+02,1.180e+05,1.194e+05
35.9,9.189e+02,6.722e+02,1.649e+05,1.664e+05
37.4,1.323e+03,7.006e+02,2.452e+05,2.472e+05
39.0,2.652e+03,8.688e+02,3.816e+05,3.851e+05
40.6,6.182e+03,1.251e+03,6.757e+05,6.831e+05
42.1,1.434e+04,2.903e+03,1.389e+06,1.407e+06
43.7,3.048e+04,5.948e+03,2.249e+06,2.285e+06
45.2,4.406e+04,8.264e+03,2.508e+06,2.560e+06
46.8,4.222e+04,8.790e+03,2.045e+06,2.096e+06
48.4,3.616e+04,6.885e+03,1.395e+06,1.438e+06
49.9,3.247e+04,5.597e+03,9.530e+05,9.911e+05
51.5,3.425e+04,4.952e+03,7.539e+05,7.931e+05
53.0,3.435e+04,4.484e+03,6.778e+05,7.167e+05
54.6,3.002e+04,5.263e+03,6.313e+05,6.666e+05
56.2,2.432e+04,5.927e+03,5.751e+05,6.054e+05
57.7,1.589e+04,8.359e+03,5.182e+05,5.425e+05
59.3,1.481e+04,1.315e+04,4.878e+05,5.158e+05
60.8,1.493e+04,1.561e+04,4.643e+05,4.948e+05
62.4,1.547e+04,1.598e+04,4.210e+05,4.525e+05
64.0,1.686e+04,1.575e+04,3.774e+05,4.101e+05
65.5,1.653e+04,1.559e+04,3.380e+05,3.701e+05
67.1,1.267e+04,1.462e+04,2.651e+05,2.924e+05
68.7,8.225e+03,1.199e+04,1.868e+05,2.070e+05
70.2,7.670e+03,8.854e+03,1.374e+05,1.539e+05
71.8,9.625e+03,6.777e+03,1.140e+05,1.304e+05
73.3,1.037e+04,5.786e+03,9.798e+04,1.141e+05
74.9,8.431e+03,5.842e+03,9.025e+04,1.045e+05
76.5,6.782e+03,6.954e+03,8.871e+04,1.024e+05
78.0,6.599e+03,7.039e+03,7.948e+04,9.312e+04
79.6,6.933e+03,5.724e+03,6.724e+04,7.989e+04
81.1,7.706e+03,4.702e+03,5.793e+04,7.034e+04
82.7,8.663e+03,4.988e+03,5.264e+04,6.629e+04
84.3,8.520e+03,7.118e+03,5.548e+04,7.112e+04
85.8,8.050e+03,9.907e+03,5.859e+04,7.654e+04
87.4,7.268e+03,1.331e+04,5.496e+04,7.553e+04
88.9,6.411e+03,1.700e+04,5.148e+04,7.489e+04
90.5,5.997e+03,2.076e+04,4.964e+04,7.639e+04
92.1,6.437e+03,2.575e+04,4.842e+04,8.061e+04
93.6,7.164e+03,3.278e+04,4.971e+04,8.965e+04
95.2,7.390e+03,4.459e+04,5.301e+04,1.050e+05
96.7,8.373e+03,5.794e+04,5.772e+04,1.240e+05
98.3,1.075e+04,6.719e+04,5.709e+04,1.350e+05
99.9,1.194e+04,6.976e+04,5.388e+04,1.356e+05
101.4,1.326e+04,6.940e+04,5.095e+04,1.336e+05
103.0,1.274e+04,5.952e+04,4.489e+04,1.172e+05
