freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.137e+02,4.537e+02,5.392e+02,1.507e+03
1.6,1.633e+03,1.821e+03,2.172e+03,5.626e+03
3.1,1.748e+03,1.911e+03,2.277e+03,5.936e+03
4.7,2.044e+03,1.652e+03,2.150e+03,5.846e+03
6.3,3.450e+03,1.745e+03,2.172e+03,7.366e+03
7.8,4.958e+03,1.996e+03,2.276e+03,9.230e+03
9.4,5.906e+03,2.142e+03,2.422e+03,1.047e+04
11.0,7.158e+03,1.917e+03,2.465e+03,1.154e+04
12.5,9.452e+03,1.603e+03,2.045e+03,1.310e+04
14.1,1.166e+04,1.448e+03,1.814e+03,1.492e+04
15.7,1.352e+04,1.526e+03,1.843e+03,1.689e+04
17.2,1.581e+04,1.228e+03,1.728e+03,1.877e+04
18.8,1.908e+04,1.169e+03,1.584e+03,2.183e+04
20.4,2.350e+04,1.367e+03,1.662e+03,2.653e+04
21.9,2.838e+04,1.348e+03,1.768e+03,3.150e+04
23.5,3.190e+04,1.269e+03,1.943e+03,3.511e+04
25.1,3.751e+04,1.381e+03,2.177e+03,4.107e+04
26.6,4.392e+04,1.522e+03,2.450e+03,4.789e+04
28.2,5.044e+04,1.474e+03,2.576e+03,5.449e+04
29.7,5.760e+04,1.366e+03,2.814e+03,6.178e+04
31.3,6.600e+04,1.429e+03,3.791e+03,7.122e+04
32.9,7.799e+04,1.547e+03,4.824e+03,8.436e+04
34.4,9.282e+04,1.759e+03,5.782e+03,1.004e+05
36.0,1.084e+05,1.974e+03,7.439e+03,1.178e+05
37.6,1.338e+05,2.410e+03,1.073e+04,1.469e+05
39.1,1.650e+05,2.497e+03,1.653e+04,1.841e+05
40.7,2.063e+05,3.289e+03,2.589e+04,2.354e+05
42.3,2.682e+05,5.225e+03,4.192e+04,3.153e+05
43.8,3.426e+05,7.316e+03,6.779e+04,4.177e+05
45.4,4.418e+05,1.051e+04,1.134e+05,5.657e+05
47.0,5.345e+05,1.279e+04,1.331e+05,6.804e+05
48.5,6.051e+05,1.623e+04,1.544e+05,7.757e+05
50.1,6.258e+05,2.346e+04,2.184e+05,8.677e+05
51.7,6.465e+05,3.586e+04,3.480e+05,1.030e+06
53.2,5.686e+05,4.505e+04,4.942e+05,1.108e+06
54.8,3.827e+05,4.763e+04,5.064e+05,9.367e+05
