freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.236e+01,9.118e+01,5.167e+02,7.002e+02
1.5,4.665e+02,4.690e+02,9.117e+02,1.847e+03
3.1,5.327e+02,5.197e+02,8.369e+02,1.889e+03
4.6,5.356e+02,5.730e+02,1.200e+03,2.309e+03
6.1,5.145e+02,5.677e+02,2.149e+03,3.231e+03
7.7,5.411e+02,5.449e+02,3.026e+03,4.112e+03
9.2,5.260e+02,5.660e+02,3.348e+03,4.440e+03
10.7,5.491e+02,5.378e+02,4.187e+03,5.274e+03
12.3,6.061e+02,5.667e+02,6.004e+03,7.177e+03
13.8,6.328e+02,6.264e+02,9.085e+03,1.034e+04
15.3,6.613e+02,6.060e+02,1.158e+04,1.285e+04
16.9,6.789e+02,6.651e+02,1.300e+04,1.434e+04
18.4,6.681e+02,6.235e+02,1.630e+04,1.759e+04
19.9,7.581e+02,5.918e+02,2.149e+04,2.284e+04
21.5,8.994e+02,7.796e+02,2.605e+04,2.773e+04
23.0,9.032e+02,9.056e+02,3.143e+04,3.324e+04
24.5,8.661e+02,9.480e+02,3.685e+04,3.866e+04
26.1,9.039e+02,7.892e+02,4.453e+04,4.622e+04
27.6,9.303e+02,6.874e+02,5.423e+04,5.585e+04
29.1,8.302e+02,7.544e+02,6.199e+04,6.358e+04
30.6,6.657e+02,8.826e+02,7.112e+04,7.266e+04
32.2,6.272e+02,1.146e+03,9.352e+04,9.530e+04
33.7,6.648e+02,1.707e+03,1.367e+05,1.390e+05
35.2,8.045e+02,2.270e+03,2.062e+05,2.093e+05
36.8,1.673e+03,3.758e+03,3.694e+05,3.748e+05
38.3,4.839e+03,1.038e+04,7.641e+05,7.793e+05
39.8,8.356e+03,1.814e+04,1.075e+06,1.102e+06
41.4,9.898e+03,2.073e+04,1.044e+06,1.075e+06
42.9,7.737e+03,1.822e+04,7.325e+05,7.584e+05
44.4,3.138e+03,1.475e+04,4.085e+05,4.264e+05
46.0,1.251e+03,1.218e+04,2.608e+05,2.743e+05
47.5,1.190e+03,1.037e+04,2.043e+05,2.159e+05
49.0,1.422e+03,9.143e+03,1.699e+05,1.805e+05
50.6,1.615e+03,9.212e+03,1.520e+05,1.628e+05
52.1,1.566e+03,9.390e+03,1.394e+05,1.503e+05
53.6,1.541e+03,9.064e+03,1.230e+05,1.336e+05
55.2,1.948e+03,8.027e+03,1.016e+05,1.115e+05
56.7,2.541e+03,7.131e+03,8.062e+04,9.029e+04
58.2,4.668e+03,5.836e+03,6.222e+04,7.273e+04
59.8,7.943e+03,4.956e+03,5.246e+04,6.536e+04
61.3,7.402e+03,5.259e+03,4.555e+04,5.821e+04
62.8,6.082e+03,5.478e+03,3.672e+04,4.828e+04
64.4,6.215e+03,5.184e+03,3.018e+04,4.158e+04
65.9,6.857e+03,5.288e+03,2.492e+04,3.706e+04
67.4,6.733e+03,4.633e+03,1.953e+04,3.089e+04
69.0,6.472e+03,4.256e+03,1.552e+04,2.625e+04
70.5,7.688e+03,4.057e+03,1.171e+04,2.345e+04
72.0,8.533e+03,3.853e+03,9.307e+03,2.169e+04
73.6,8.503e+03,3.172e+03,7.654e+03,1.933e+04
75.1,9.699e+03,2.535e+03,7.071e+03,1.931e+04
76.6,1.230e+04,2.170e+03,8.986e+03,2.346e+04
78.2,1.404e+04,2.604e+03,1.135e+04,2.799e+04
79.7,1.501e+04,3.662e+03,1.237e+04,3.104e+04
81.2,1.514e+04,5.088e+03,1.249e+04,3.272e+04
82.8,1.485e+04,7.102e+03,1.350e+04,3.545e+04
84.3,1.538e+04,9.987e+03,1.583e+04,4.120e+04
85.8,1.493e+04,1.350e+04,1.823e+04,4.667e+04
87.3,1.259e+04,1.672e+04,2.084e+04,5.016e+04
88.9,9.535e+03,2.074e+04,2.667e+04,5.694e+04
90.4,8.286e+03,2.963e+04,3.469e+04,7.261e+04
91.9,7.383e+03,4.662e+04,4.323e+04,9.723e+04
93.5,7.265e+03,6.874e+04,5.180e+04,1.278e+05
95.0,1.028e+04,8.164e+04,5.299e+04,1.449e+05
96.5,1.686e+04,7.465e+04,4.309e+04,1.346e+05
98.1,2.106e+04,6.093e+04,3.079e+04,1.128e+05
99.6,2.328e+04,5.263e+04,2.412e+04,1.000e+05
101.1,2.372e+04,5.336e+04,1.996e+04,9.704e+04
102.7,2.200e+04,5.633e+04,1.786e+04,9.619e+04
104.2,1.942e+04,5.377e+04,1.470e+04,8.789e+04
105.7,1.635e+04,4.845e+04,1.149e+04,7.629e+04
107.3,1.446e+04,4.783e+04,1.048e+04,7.277e+04
108.8,1.672e+04,4.673e+04,8.984e+03,7.243e+04
110.3,1.958e+04,4.533e+04,6.535e+03,7.145e+04
111.9,2.183e+04,4.430e+04,4.497e+03,7.063e+04
113.4,2.288e+04,4.651e+04,3.382e+03,7.277e+04
114.9,2.196e+04,5.290e+04,2.818e+03,7.768e+04
116.5,2.357e+04,6.038e+04,2.596e+03,8.654e+04
118.0,2.722e+04,5.788e+04,3.495e+03,8.859e+04
119.5,3.046e+04,3.935e+04,4.891e+03,7.470e+04
121.1,4.036e+04,2.049e+04,4.716e+03,6.557e+04
122.6,5.886e+04,1.658e+04,5.003e+03,8.045e+04
124.1,7.843e+04,2.387e+04,6.460e+03,1.088e+05
125.7,9.467e+04,3.224e+04,9.771e+03,1.367e+05
127.2,1.003e+05,3.666e+04,1.467e+04,1.516e+05
128.7,1.060e+05,3.788e+04,1.959e+04,1.634e+05
130.3,1.162e+05,4.005e+04,2.618e+04,1.824e+05
131.8,1.114e+05,3.841e+04,2.970e+04,1.795e+05
133.3,5.045e+04,1.711e+04,1.476e+04,8.233e+04
134.9,9.462e+03,2.677e+03,3.916e+03,1.606e+04
136.4,7.377e+03,1.733e+03,3.721e+03,1.283e+04
137.9,7.284e+03,1.431e+03,3.944e+03,1.266e+04
139.5,7.062e+03,1.362e+03,4.296e+03,1.272e+04
