freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.902e+02,1.114e+02,1.419e+02,1.144e+03
1.5,7.305e+02,3.615e+02,5.362e+02,1.628e+03
3.0,3.302e+02,4.148e+02,6.098e+02,1.355e+03
4.5,6.218e+02,4.151e+02,5.633e+02,1.600e+03
6.0,1.469e+03,4.894e+02,5.478e+02,2.506e+03
7.6,2.085e+03,4.636e+02,5.464e+02,3.095e+03
9.1,2.920e+03,4.991e+02,5.988e+02,4.018e+03
10.6,3.956e+03,5.020e+02,6.008e+02,5.059e+03
12.1,5.115e+03,5.484e+02,5.626e+02,6.226e+03
13.6,6.540e+03,4.651e+02,5.814e+02,7.587e+03
15.1,8.180e+03,4.808e+02,6.468e+02,9.308e+03
16.6,1.005e+04,4.994e+02,6.448e+02,1.120e+04
18.1,1.253e+04,5.365e+02,6.530e+02,1.372e+04
19.6,1.472e+04,5.703e+02,7.338e+02,1.603e+04
21.2,1.699e+04,5.874e+02,8.090e+02,1.839e+04
22.7,1.918e+04,5.314e+02,7.667e+02,2.048e+04
24.2,2.194e+04,4.735e+02,6.875e+02,2.310e+04
25.7,2.501e+04,5.142e+02,7.598e+02,2.629e+04
27.2,2.934e+04,5.510e+02,9.076e+02,3.080e+04
28.7,3.413e+04,5.340e+02,8.697e+02,3.554e+04
30.2,3.979e+04,5.694e+02,9.361e+02,4.129e+04
31.7,4.623e+04,6.168e+02,1.135e+03,4.798e+04
33.2,5.207e+04,6.780e+02,1.177e+03,5.393e+04
34.8,5.793e+04,7.104e+02,1.127e+03,5.977e+04
36.3,6.984e+04,6.676e+02,1.222e+03,7.173e+04
37.8,8.156e+04,7.328e+02,1.395e+03,8.368e+04
39.3,9.302e+04,8.749e+02,1.700e+03,9.559e+04
40.8,1.028e+05,1.066e+03,2.088e+03,1.059e+05
42.3,1.155e+05,1.337e+03,2.608e+03,1.194e+05
43.8,1.399e+05,1.728e+03,3.255e+03,1.449e+05
45.3,1.685e+05,1.911e+03,3.517e+03,1.739e+05
46.8,2.010e+05,1.886e+03,3.170e+03,2.061e+05
48.3,2.468e+05,2.058e+03,2.395e+03,2.513e+05
49.9,3.091e+05,2.372e+03,2.295e+03,3.138e+05
51.4,3.646e+05,2.689e+03,2.516e+03,3.698e+05
52.9,3.947e+05,2.957e+03,3.474e+03,4.011e+05
54.4,4.822e+05,3.799e+03,5.177e+03,4.912e+05
55.9,6.154e+05,4.642e+03,6.639e+03,6.266e+05
57.4,7.841e+05,4.686e+03,7.529e+03,7.963e+05
58.9,1.024e+06,4.857e+03,1.057e+04,1.040e+06
60.4,1.508e+06,7.991e+03,1.918e+04,1.536e+06
61.9,2.341e+06,1.193e+04,3.346e+04,2.386e+06
63.5,3.736e+06,1.980e+04,4.794e+04,3.804e+06
65.0,5.405e+06,3.014e+04,5.983e+04,5.495e+06
66.5,5.634e+06,3.416e+04,5.354e+04,5.721e+06
68.0,4.669e+06,2.968e+04,4.129e+04,4.740e+06
69.5,3.812e+06,3.100e+04,5.277e+04,3.896e+06
71.0,2.928e+06,3.580e+04,6.597e+04,3.030e+06
72.5,2.094e+06,3.920e+04,6.893e+04,2.203e+06
