freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.879e+00,5.938e+00,2.688e+02,2.796e+02
1.5,1.790e+01,2.641e+01,1.928e+02,2.371e+02
3.1,1.870e+01,2.862e+01,6.925e+01,1.166e+02
4.6,2.025e+01,2.704e+01,4.867e+02,5.340e+02
6.2,2.296e+01,2.704e+01,1.442e+03,1.492e+03
7.7,2.132e+01,2.755e+01,1.972e+03,2.021e+03
9.3,1.919e+01,2.791e+01,2.640e+03,2.687e+03
10.8,1.906e+01,2.351e+01,3.579e+03,3.622e+03
12.4,2.007e+01,2.481e+01,5.031e+03,5.075e+03
13.9,2.049e+01,2.656e+01,7.110e+03,7.157e+03
15.5,1.861e+01,2.724e+01,9.857e+03,9.903e+03
17.0,1.803e+01,2.772e+01,1.285e+04,1.289e+04
18.6,2.061e+01,3.309e+01,1.578e+04,1.583e+04
20.1,2.858e+01,3.896e+01,1.889e+04,1.896e+04
21.7,2.641e+01,3.389e+01,2.283e+04,2.289e+04
23.2,2.566e+01,2.814e+01,2.731e+04,2.737e+04
24.8,2.794e+01,3.187e+01,3.069e+04,3.075e+04
26.3,2.227e+01,3.377e+01,3.704e+04,3.710e+04
27.9,2.620e+01,3.768e+01,4.679e+04,4.685e+04
29.4,4.547e+01,4.206e+01,5.922e+04,5.931e+04
31.0,9.863e+01,4.585e+01,7.355e+04,7.369e+04
32.5,1.602e+02,5.400e+01,8.555e+04,8.577e+04
34.1,2.333e+02,6.554e+01,1.078e+05,1.081e+05
35.6,3.200e+02,9.106e+01,1.551e+05,1.555e+05
37.2,4.302e+02,1.788e+02,2.432e+05,2.438e+05
38.7,5.491e+02,4.361e+02,3.762e+05,3.772e+05
40.3,4.949e+02,7.082e+02,4.552e+05,4.564e+05
41.8,3.938e+02,7.624e+02,4.289e+05,4.300e+05
43.4,6.630e+02,9.234e+02,4.194e+05,4.210e+05
44.9,1.414e+03,1.247e+03,4.141e+05,4.167e+05
46.5,1.807e+03,1.393e+03,3.776e+05,3.808e+05
48.0,1.408e+03,1.068e+03,3.142e+05,3.166e+05
49.6,1.047e+03,7.601e+02,2.728e+05,2.746e+05
51.1,8.119e+02,6.354e+02,2.337e+05,2.351e+05
52.7,5.790e+02,5.786e+02,1.851e+05,1.862e+05
54.2,5.312e+02,5.975e+02,1.472e+05,1.484e+05
55.8,7.007e+02,5.916e+02,1.364e+05,1.377e+05
57.3,5.493e+02,5.832e+02,1.381e+05,1.393e+05
58.9,2.429e+02,8.322e+02,1.414e+05,1.425e+05
60.4,1.880e+02,1.364e+03,1.493e+05,1.508e+05
62.0,3.718e+02,1.495e+03,1.428e+05,1.446e+05
63.5,6.041e+02,1.370e+03,1.260e+05,1.279e+05
65.1,1.038e+03,1.226e+03,1.079e+05,1.101e+05
66.6,1.728e+03,9.974e+02,9.159e+04,9.432e+04
68.2,2.742e+03,7.722e+02,7.762e+04,8.114e+04
69.7,3.586e+03,8.594e+02,6.686e+04,7.131e+04
71.3,3.441e+03,1.376e+03,5.860e+04,6.341e+04
72.8,2.812e+03,1.785e+03,4.782e+04,5.242e+04
74.4,2.057e+03,1.871e+03,3.712e+04,4.104e+04
75.9,1.535e+03,1.879e+03,2.997e+04,3.338e+04
77.5,1.448e+03,1.875e+03,2.402e+04,2.734e+04
79.0,1.585e+03,1.956e+03,1.930e+04,2.284e+04
80.6,1.878e+03,2.045e+03,1.537e+04,1.929e+04
82.1,2.037e+03,2.179e+03,1.289e+04,1.711e+04
83.7,2.185e+03,2.312e+03,1.221e+04,1.670e+04
85.2,2.585e+03,2.564e+03,1.253e+04,1.768e+04
86.8,3.072e+03,2.732e+03,1.270e+04,1.850e+04
88.3,3.780e+03,2.823e+03,1.167e+04,1.827e+04
89.9,4.185e+03,2.821e+03,1.030e+04,1.730e+04
